Celltype	Trait	Z	pvalue	FDR
CD8	Ulcerative_colitis	1.56485760496015	0.0588081505947382	0.549135268079362
mDC	Celiac_disease	1.55940275910699	0.0594505418433497	0.549135268079362
GMP-C	Atopic_dermatitis	1.54692528884878	0.0609406311036194	0.55558861084079
GMP-A	Type_1_diabetes	1.529207541471	0.0631065008130924	0.567958507317832
mDC	Triglycerides	1.51404850617462	0.0650067687255756	0.576830721778721
CMP	Allergy	1.49518501531428	0.0674330815768464	0.576830721778721
mDC	HDL_cholesterol	1.49128548520217	0.0679432790384707	0.576830721778721
MEP	Triglycerides	1.49061857607857	0.068030832211519	0.576830721778721
GMP-B	Primary_sclerosing_cholangitis	1.48932591524375	0.0682007833442078	0.576830721778721
B	Celiac_disease	1.45596615787253	0.0727009875890634	0.603196126462854
GMP-C	Alopecia_areata	1.45354268918302	0.0730365680190066	0.603196126462854
NK	Primary_biliary_cirrhosis	1.42810868561899	0.0766302889538587	0.625517009832661
MEP	Platelet_counts	1.41784141638975	0.0781185346797836	0.630335762588599
Mono	Celiac_disease	1.389536714749	0.0823348022991153	0.652585705972499
mDC	Ulcerative_colitis	1.38690592910338	0.0827352248312712	0.652585705972499
GMP-A	C_reactive_protein	1.36095775782737	0.0867635195908658	0.666437656703698
Mono	Ulcerative_colitis	1.35927682657019	0.087029442188781	0.666437656703698
B	Autoimmune_thyroiditis	1.3519984596998	0.0881879040137758	0.666437656703698
NK	Liver_enzyme_levels_gamma_glutamyl_transferase	1.35136825108137	0.0882887493923703	0.666437656703698
GMP-A	Renal_function_related_traits_BUN	1.34043166905717	0.0900525227697334	0.67251990408886
Mega	Kawasaki_disease	1.33425447300579	0.0910602362976226	0.672887219799274
pDC	Rheumatoid_arthritis	1.30534443999164	0.0958877940357003	0.697422577444792
MPP	Platelet_counts	1.30253074694347	0.0963675071398074	0.697422577444792
Mono	Asthma	1.29332778905943	0.0979488566959322	0.700230854756301
GMP-A	Migraine	1.28377038122766	0.0996111549756532	0.700230854756301
GMP-A	Primary_biliary_cirrhosis	1.28298888550676	0.0997479850080201	0.700230854756301
B	Psoriasis	1.26529792773375	0.102882274574796	0.709718417953713
GMP-C	Type_1_diabetes	1.26396397078649	0.103121479531736	0.709718417953713
Mono	HDL_cholesterol	1.24421608137786	0.106710023342557	0.725801784892129
mDC	Type_1_diabetes	1.23659899718291	0.108117996202602	0.725801784892129
LMPP	Restless_legs_syndrome	1.23422199907549	0.108560096030874	0.725801784892129
CD4	Ulcerative_colitis	1.22596609314706	0.110105717472835	0.729190694961605
B	Triglycerides	1.21179261670173	0.112795887645934	0.736993116978504
GMP-C	Ulcerative_colitis	1.2072587319679	0.113666259111989	0.736993116978504
B	Vitiligo	1.20328304377533	0.114433404203215	0.736993116978504
LMPP	Primary_biliary_cirrhosis	1.19764908288771	0.115526829663705	0.737271222035645
pDC	Multiple_sclerosis	1.18397577713413	0.118211325791352	0.747606763112875
mDC	Multiple_sclerosis	1.17294098105603	0.120409737004347	0.754711030152246
Ery	Liver_enzyme_levels_gamma_glutamyl_transferase	1.16424706081325	0.12216195179787	0.758917612054024
CD4	Primary_biliary_cirrhosis	1.14997575551944	0.125076928524616	0.766901484987909
GMP-C	Rheumatoid_arthritis	1.14236386080097	0.126651403279843	0.766901484987909
GMP-C	Celiac_disease	1.14201225961378	0.126724461906834	0.766901484987909
Mono	Type_1_diabetes	1.13617952511551	0.127940718885207	0.767644313311242
GMP-C	Primary_sclerosing_cholangitis	1.11590115911004	0.132232222804925	0.776134290371913
GMP-B	Ankylosing_spondylitis	1.11145400634351	0.133186488489747	0.776134290371913
MEP	Allergy	1.10542086322542	0.134488633824571	0.776134290371913
MPP	Migraine	1.10040029281594	0.135578875483561	0.776134290371913
mDC	Behcets_disease	1.09469685776766	0.136824732849109	0.776134290371913
CD4	Liver_enzyme_levels_gamma_glutamyl_transferase	1.08590148813843	0.138761289233934	0.776134290371913
HSC	Psoriasis	1.07824244609203	0.140462787047856	0.776134290371913
MPP	Progressive_supranuclear_palsy	1.07733607669318	0.14066507528043	0.776134290371913
LMPP	Rheumatoid_arthritis	1.07221983338263	0.141810652063706	0.776134290371913
GMP-B	Renal_function_related_traits_BUN	1.07085981150295	0.142116234245294	0.776134290371913
GMP-B	Type_1_diabetes	1.06379938907371	0.143709794077702	0.776134290371913
CD4	Ankylosing_spondylitis	1.05459157270467	0.145806079836996	0.776134290371913
CD4	Psoriasis	1.05439224068667	0.145851686633108	0.776134290371913
GMP-A	Primary_sclerosing_cholangitis	1.04804487448097	0.147308966176846	0.776134290371913
mDC	Ankylosing_spondylitis	1.04631339735612	0.147708180953768	0.776134290371913
Mono	Behcets_disease	1.04412334865751	0.148214162308886	0.776134290371913
LMPP	Alzheimers_combined	1.03983566183577	0.14920812885661	0.776134290371913
MEP	LDL_cholesterol	1.03962708441791	0.149256594302291	0.776134290371913
LMPP	Psoriasis	1.03231237523539	0.150962902805332	0.779234983598111
CD4	Type_1_diabetes	1.01588552495345	0.154841951313583	0.793423721329454
CD8	Type_1_diabetes	1.00551355987076	0.157324811711694	0.800304476968183
CLP	Asthma	0.972752271623707	0.16533821954888	0.835017482901538
GMP-A	Alopecia_areata	0.957489536390481	0.169160112640557	0.837318492050569
Mono	Atopic_dermatitis	0.953003918746865	0.170294042597892	0.837318492050569
B	Ulcerative_colitis	0.952128784593081	0.170515836222337	0.837318492050569
CMP	Restless_legs_syndrome	0.945435760279163	0.172218226343223	0.837318492050569
pDC	Celiac_disease	0.945346515317761	0.172240999083738	0.837318492050569
GMP-C	Ankylosing_spondylitis	0.942570174243256	0.172950400779676	0.837318492050569
mDC	Juvenile_idiopathic_arthritis	0.929287043957459	0.176370173882865	0.844466044070691
GMP-B	Vitiligo	0.927503324823601	0.176832633160102	0.844466044070691
Mono	Multiple_sclerosis	0.911243730206411	0.181083483713073	0.853648736394612
mDC	Alzheimers_combined	0.910848688472122	0.181187552311677	0.853648736394612
mDC	Creatinine_levels	0.904259762110895	0.182928838846304	0.856106965800703
Mono	Juvenile_idiopathic_arthritis	0.861186328954867	0.194567714161052	0.904546591662639
GMP-B	Rheumatoid_arthritis	0.85169151531305	0.197192665528289	0.910718757900387
pDC	Primary_sclerosing_cholangitis	0.84363851691111	0.199435717017634	0.915057995727968
GMP-A	Crohns_disease	0.836855964359583	0.201336767662298	0.917781888954112
CLP	Type_1_diabetes	0.819012634310151	0.206389602622089	0.934745168004558
mDC	Crohns_disease	0.813222029921508	0.208045385477457	0.935357552461279
MPP	Chronic_kidney_disease	0.808925784242708	0.20927891834902	0.935357552461279
HSC	Migraine	0.796210418135659	0.212954871583486	0.935357552461279
HSC	Progressive_supranuclear_palsy	0.794005599004904	0.213596085918674	0.935357552461279
GMP-C	Renal_function_related_traits_BUN	0.783655502270021	0.216621139571923	0.935357552461279
HSC	Restless_legs_syndrome	0.779973928038602	0.217703110773129	0.935357552461279
NK	Ulcerative_colitis	0.777531551431936	0.218422613500898	0.935357552461279
CMP	Atopic_dermatitis	0.774369853103757	0.219356053011818	0.935357552461279
mDC	Chronic_kidney_disease	0.772295480877927	0.219969720685123	0.935357552461279
Mono	Alzheimers_combined	0.772120335126752	0.22002157962982	0.935357552461279
mDC	Psoriasis	0.767322654734542	0.221444851045204	0.935357552461279
pDC	Systemic_sclerosis	0.763730824951365	0.222513833705176	0.935357552461279
CMP	Type_2_diabetes	0.724283915192631	0.234445724901656	0.968026681075362
Mono	Bone_mineral_density	0.723463865151549	0.234697473285811	0.968026681075362
MPP	Allergy	0.722478332503726	0.235000221080104	0.968026681075362
pDC	Kawasaki_disease	0.719873732902802	0.235801371031178	0.968026681075362
pDC	Systemic_lupus_erythematosus	0.6946904725731	0.243624650027127	0.988773550595326
B	Systemic_lupus_erythematosus	0.692130359586	0.244427733768804	0.988773550595326
HSC	Primary_sclerosing_cholangitis	0.684260742684127	0.246905265842509	0.988773550595326
GMP-A	HDL_cholesterol	0.683602937519027	0.247112964623557	0.988773550595326
Mono	Vitiligo	0.677251479146929	0.249123205236114	0.988773550595326
B	Primary_biliary_cirrhosis	0.676674808467919	0.24930615164583	0.988773550595326
GMP-B	Alzheimers_combined	0.665994793748894	0.252707214069178	0.996631821778444
pDC	Alopecia_areata	0.644589684480554	0.259596560747608	0.999998843546877
LMPP	Progressive_supranuclear_palsy	0.626074497713619	0.265633039278585	0.999998843546877
mDC	Vitiligo	0.625270156991539	0.265896881553967	0.999998843546877
Mono	Triglycerides	0.610295981625715	0.270832879174312	0.999998843546877
Ery	LDL_cholesterol	0.607475152122454	0.27176781389758	0.999998843546877
HSC	Allergy	0.605250326773426	0.272506340517452	0.999998843546877
GMP-B	Migraine	0.60257079236759	0.273397127768968	0.999998843546877
CLP	Progressive_supranuclear_palsy	0.582397432398835	0.280149505311071	0.999998843546877
Mono	Ankylosing_spondylitis	0.580117305209691	0.280917757280144	0.999998843546877
MEP	Alopecia_areata	0.574248920754994	0.282899684495187	0.999998843546877
Mono	Alopecia_areata	0.571721918669501	0.283755191323658	0.999998843546877
Ery	Renal_function_related_traits_BUN	0.561028374601787	0.287389097053207	0.999998843546877
CD8	Psoriasis	0.548774708822658	0.291580034385409	0.999998843546877
MPP	Primary_sclerosing_cholangitis	0.543848284443905	0.293272939538268	0.999998843546877
LMPP	LDL_cholesterol	0.543663740947501	0.293336444075365	0.999998843546877
CD4	Vitiligo	0.543416595321139	0.293421501043991	0.999998843546877
B	Crohns_disease	0.541371652061508	0.294125721160861	0.999998843546877
Mono	Kawasaki_disease	0.535415451877689	0.296181303806035	0.999998843546877
CD8	Liver_enzyme_levels_gamma_glutamyl_transferase	0.533803573861889	0.296738720448256	0.999998843546877
GMP-A	Juvenile_idiopathic_arthritis	0.510824495382358	0.304736977607435	0.999998843546877
NK	Red_blood_cell_traits	0.507938251760754	0.305748323883276	0.999998843546877
mDC	Allergy	0.507888989140302	0.305765598512934	0.999998843546877
HSC	Platelet_counts	0.487483896292282	0.312957726097402	0.999998843546877
CD8	Systemic_lupus_erythematosus	0.482452425624995	0.314742293299551	0.999998843546877
Ery	C_reactive_protein	0.477094064026697	0.316647570707613	0.999998843546877
GMP-B	Asthma	0.463666104023391	0.321443492858595	0.999998843546877
B	Alopecia_areata	0.463067893871031	0.321657851195204	0.999998843546877
GMP-C	HDL_cholesterol	0.457705924379458	0.323581865562767	0.999998843546877
GMP-A	Asthma	0.454743770467337	0.324646793676791	0.999998843546877
Mono	Systemic_sclerosis	0.45089219742166	0.32603362366729	0.999998843546877
CMP	Fasting_glucose_related_traits	0.445569588958615	0.327954090987794	0.999998843546877
Mega	Asthma	0.437612160196259	0.330833727342755	0.999998843546877
HSC	Chronic_kidney_disease	0.430862677362221	0.333284111334019	0.999998843546877
NK	Type_2_diabetes	0.416845325844817	0.338395773352921	0.999998843546877
CLP	Systemic_lupus_erythematosus	0.414806655691216	0.339141723435883	0.999998843546877
Mega	Renal_function_related_traits_BUN	0.40458522520732	0.342891210345427	0.999998843546877
Mega	Alopecia_areata	0.403947110526254	0.343125806114975	0.999998843546877
GMP-A	Kawasaki_disease	0.398893623807446	0.344985793793046	0.999998843546877
CD4	LDL_cholesterol	0.398709219479375	0.345053736918213	0.999998843546877
CMP	Progressive_supranuclear_palsy	0.389847826503886	0.348324537887666	0.999998843546877
Mono	Primary_sclerosing_cholangitis	0.387640277357121	0.349141129021363	0.999998843546877
CD4	Alopecia_areata	0.366751680327865	0.35690212662548	0.999998843546877
GMP-A	Rheumatoid_arthritis	0.362099600169613	0.358638801210509	0.999998843546877
NK	Celiac_disease	0.351194848563573	0.362721087278894	0.999998843546877
CLP	Bone_mineral_density	0.344756477147676	0.365138727719982	0.999998843546877
Mega	Allergy	0.342657829033347	0.365927945783872	0.999998843546877
mDC	Bone_mineral_density	0.325473186533304	0.372411486452956	0.999998843546877
B	Liver_enzyme_levels_gamma_glutamyl_transferase	0.319473268146069	0.374683829545837	0.999998843546877
GMP-C	Primary_biliary_cirrhosis	0.316811492361062	0.375693321716227	0.999998843546877
GMP-A	Psoriasis	0.314134641313941	0.376709390138116	0.999998843546877
GMP-B	Restless_legs_syndrome	0.306336225770474	0.379674329978157	0.999998843546877
Mega	Alzheimers_combined	0.301840475506073	0.381386837022944	0.999998843546877
GMP-B	HDL_cholesterol	0.298278422887449	0.382745335605051	0.999998843546877
NK	Systemic_lupus_erythematosus	0.293359978633871	0.384623506395059	0.999998843546877
GMP-C	Behcets_disease	0.291847010806598	0.385201799837883	0.999998843546877
Mega	Creatinine_levels	0.288812851992463	0.38636229828123	0.999998843546877
GMP-B	Behcets_disease	0.287752589186431	0.386768065664157	0.999998843546877
CD4	Systemic_lupus_erythematosus	0.282576268411628	0.388750837125991	0.999998843546877
pDC	Restless_legs_syndrome	0.278631609691295	0.390263775987684	0.999998843546877
pDC	Atopic_dermatitis	0.276160852058644	0.391212261973355	0.999998843546877
MEP	Systemic_lupus_erythematosus	0.270469512374518	0.393399534376044	0.999998843546877
CD4	Juvenile_idiopathic_arthritis	0.26468951134011	0.395624329068952	0.999998843546877
GMP-A	Behcets_disease	0.25539525990042	0.399208915742141	0.999998843546877
MPP	Psoriasis	0.253877007345983	0.399795289215995	0.999998843546877
CLP	Urate_levels	0.248230985098766	0.401977846898514	0.999998843546877
MPP	Rheumatoid_arthritis	0.236506289006884	0.406519913884207	0.999998843546877
GMP-B	Celiac_disease	0.236184978170441	0.406644567750403	0.999998843546877
pDC	Triglycerides	0.234463541649323	0.407312566969446	0.999998843546877
Mono	Rheumatoid_arthritis	0.232359515357974	0.408129395251135	0.999998843546877
CD4	Behcets_disease	0.221094028932093	0.41250960972269	0.999998843546877
Mega	LDL_cholesterol	0.221037568886548	0.412531590309641	0.999998843546877
MPP	Restless_legs_syndrome	0.217885842542369	0.413759029084083	0.999998843546877
B	Bone_mineral_density	0.215580276570312	0.414657465657839	0.999998843546877
CD4	Fasting_glucose_related_traits	0.192892992094424	0.423521386733717	0.999998843546877
mDC	Kawasaki_disease	0.191535550678053	0.424053015333664	0.999998843546877
GMP-C	Migraine	0.188965078792092	0.425060093370987	0.999998843546877
GMP-A	LDL_cholesterol	0.176526694271033	0.429940089484278	0.999998843546877
pDC	Urate_levels	0.176507798929831	0.429947511106726	0.999998843546877
Mono	Allergy	0.17608813043694	0.430112352881075	0.999998843546877
GMP-B	Crohns_disease	0.176068125315828	0.430120211005928	0.999998843546877
GMP-C	Juvenile_idiopathic_arthritis	0.175707307159001	0.430261947169718	0.999998843546877
CMP	Migraine	0.173504798658073	0.431127328151602	0.999998843546877
pDC	Asthma	0.171064483678367	0.43208653105177	0.999998843546877
CD8	LDL_cholesterol	0.163037388119589	0.435244498515948	0.999998843546877
pDC	Type_1_diabetes	0.156367519660864	0.437871668885711	0.999998843546877
Mono	Liver_enzyme_levels_gamma_glutamyl_transferase	0.151488263453734	0.43979528420088	0.999998843546877
HSC	Rheumatoid_arthritis	0.148620739825319	0.440926453375046	0.999998843546877
CLP	Restless_legs_syndrome	0.145452396939957	0.442176848852779	0.999998843546877
MPP	Creatinine_levels	0.144859576351441	0.442410871554505	0.999998843546877
CLP	Creatinine_levels	0.141037017303294	0.443920349513972	0.999998843546877
pDC	Renal_function_related_traits_BUN	0.133401359586706	0.446937985112318	0.999998843546877
HSC	Creatinine_levels	0.132074807147894	0.447462561155668	0.999998843546877
GMP-B	Psoriasis	0.126637942898708	0.449613482300343	0.999998843546877
MPP	LDL_cholesterol	0.121167818425974	0.451779056723981	0.999998843546877
Mono	Psoriasis	0.117326627237064	0.453300612631409	0.999998843546877
GMP-C	Alzheimers_combined	0.116349484922331	0.453687784294417	0.999998843546877
LMPP	Renal_function_related_traits_BUN	0.0953775522061597	0.462007472763779	0.999998843546877
GMP-B	LDL_cholesterol	0.0943242361064089	0.462425799056123	0.999998843546877
Mono	Renal_function_related_traits_BUN	0.091418709267087	0.463579948075625	0.999998843546877
Mega	Red_blood_cell_traits	0.0891613428213558	0.464476843467336	0.999998843546877
B	Fasting_glucose_related_traits	0.0856520409197333	0.465871513877107	0.999998843546877
pDC	Migraine	0.0850294354823559	0.466118994656821	0.999998843546877
LMPP	Migraine	0.0756172359134581	0.469861811724566	0.999998843546877
pDC	C_reactive_protein	0.0709214731655837	0.471730126645627	0.999998843546877
CLP	Renal_function_related_traits_BUN	0.0694927426410262	0.472298704611584	0.999998843546877
Ery	Systemic_sclerosis	0.0673935443015295	0.473134204203692	0.999998843546877
CD4	Systemic_sclerosis	0.0663981448064752	0.473530423587684	0.999998843546877
MEP	Creatinine_levels	0.0651274443668154	0.474036264684442	0.999998843546877
Ery	Alzheimers_combined	0.0647131035174839	0.474201214797214	0.999998843546877
pDC	Juvenile_idiopathic_arthritis	0.0636039044966657	0.474642811350504	0.999998843546877
CD8	Fasting_glucose_related_traits	0.0509215863572302	0.479694002198297	0.999998843546877
CD8	Migraine	0.0469262827837817	0.481285990266071	0.999998843546877
pDC	LDL_cholesterol	0.0404656745510941	0.483860936177761	0.999998843546877
MEP	Renal_function_related_traits_BUN	0.0395117608893038	0.484241188503041	0.999998843546877
mDC	Liver_enzyme_levels_gamma_glutamyl_transferase	0.0384164422210357	0.484677825831021	0.999998843546877
HSC	Primary_biliary_cirrhosis	0.0247751668978881	0.490117149461033	0.999998843546877
NK	Juvenile_idiopathic_arthritis	0.0229832326307997	0.490831823919764	0.999998843546877
Mono	Type_2_diabetes	0.0196992344913292	0.49214165072478	0.999998843546877
mDC	Primary_sclerosing_cholangitis	0.0166059598424235	0.493375484974003	0.999998843546877
pDC	Behcets_disease	0.00955876907496383	0.496186660938332	0.999998843546877
GMP-A	Restless_legs_syndrome	0.00638618157653914	0.497452299476089	0.999998843546877
GMP-C	Kawasaki_disease	0.00153086596157094	0.499389273080847	0.999998843546877
CD4	Creatinine_levels	0.000707678473351603	0.499717677159615	0.999998843546877
GMP-B	Primary_biliary_cirrhosis	-0.00347063369661954	0.501384579741754	0.999998843546877
Mono	Creatinine_levels	-0.00429052410346204	0.501711666218389	0.999998843546877
GMP-C	LDL_cholesterol	-0.00543965598066346	0.502170098059371	0.999998843546877
GMP-C	Allergy	-0.0141769740163104	0.505655604892498	0.999998843546877
mDC	Alopecia_areata	-0.0164053169837836	0.50654448100938	0.999998843546877
MEP	Migraine	-0.017647942980928	0.507040145173234	0.999998843546877
MEP	Restless_legs_syndrome	-0.0343810764551835	0.513713363324385	0.999998843546877
CMP	Creatinine_levels	-0.0368761246740741	0.514708111726867	0.999998843546877
CD8	Juvenile_idiopathic_arthritis	-0.040421003367545	0.516121257167213	0.999998843546877
Mono	LDL_cholesterol	-0.042902227711074	0.517110263534649	0.999998843546877
CLP	Fasting_glucose_related_traits	-0.042939916916873	0.517125285509102	0.999998843546877
Mega	Restless_legs_syndrome	-0.0433777655976986	0.517299799251083	0.999998843546877
GMP-A	Progressive_supranuclear_palsy	-0.0467660531895248	0.518650157476646	0.999998843546877
GMP-C	Systemic_lupus_erythematosus	-0.0491438667739166	0.519597677505227	0.999998843546877
Ery	Asthma	-0.0516344445427686	0.520590013419988	0.999998843546877
pDC	Chronic_kidney_disease	-0.0652443660766442	0.526010281332233	0.999998843546877
CD4	Chronic_kidney_disease	-0.0786990046796516	0.531363981411571	0.999998843546877
CMP	Renal_function_related_traits_BUN	-0.0820421540634176	0.53269340383668	0.999998843546877
Mega	Progressive_supranuclear_palsy	-0.0825781193491615	0.532906499964703	0.999998843546877
Mega	Migraine	-0.0915175166224662	0.536459305804958	0.999998843546877
GMP-B	Juvenile_idiopathic_arthritis	-0.0921728511834645	0.536719646090419	0.999998843546877
pDC	Ulcerative_colitis	-0.0968515208043103	0.538577845736345	0.999998843546877
B	Creatinine_levels	-0.101777330943732	0.540533290258399	0.999998843546877
Mega	Bone_mineral_density	-0.108656835521734	0.543262660330317	0.999998843546877
MPP	Alzheimers_combined	-0.109237666160873	0.543493007111255	0.999998843546877
CMP	Chronic_kidney_disease	-0.110432547156485	0.543966828961101	0.999998843546877
pDC	Creatinine_levels	-0.117409996759144	0.546732418701929	0.999998843546877
GMP-B	Allergy	-0.119896791094167	0.547717546762229	0.999998843546877
CD8	Renal_function_related_traits_BUN	-0.123141748269691	0.549002573751033	0.999998843546877
GMP-C	Creatinine_levels	-0.124369203453645	0.549488521956478	0.999998843546877
pDC	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.129007691011265	0.551324218429936	0.999998843546877
CD8	Type_2_diabetes	-0.130027310302217	0.551727590192778	0.999998843546877
GMP-A	Urate_levels	-0.130607692635674	0.551957171491458	0.999998843546877
GMP-C	Asthma	-0.131987665398678	0.552502976011403	0.999998843546877
LMPP	Alopecia_areata	-0.139356136530009	0.555415633974368	0.999998843546877
pDC	Bone_mineral_density	-0.139868735047314	0.555618147881498	0.999998843546877
Mega	Behcets_disease	-0.140676900776228	0.555937402945166	0.999998843546877
LMPP	Behcets_disease	-0.14363483193176	0.557105583029674	0.999998843546877
GMP-A	Type_2_diabetes	-0.145234466017792	0.557737122766509	0.999998843546877
CD4	Bone_mineral_density	-0.146749252054718	0.558335029058904	0.999998843546877
Mono	Restless_legs_syndrome	-0.149054772488445	0.559244793274493	0.999998843546877
GMP-A	Allergy	-0.150797400807029	0.559932231662314	0.999998843546877
GMP-C	Crohns_disease	-0.150995205125776	0.560010250856127	0.999998843546877
GMP-C	Psoriasis	-0.151355129522275	0.560152208466648	0.999998843546877
CLP	Primary_biliary_cirrhosis	-0.152597375926747	0.560642102764614	0.999998843546877
GMP-A	Vitiligo	-0.154844718998236	0.561528132154455	0.999998843546877
Mega	Systemic_lupus_erythematosus	-0.16977316057217	0.567405732379641	0.999998843546877
B	Ankylosing_spondylitis	-0.171444723455996	0.568062954454307	0.999998843546877
mDC	Restless_legs_syndrome	-0.181699855385288	0.572090860265457	0.999998843546877
