Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
ARHGAP33	57	40	10	10	212	195	776	144	51	19	24	12	84	518	8	16
NDUFAB1	793	1526	1263	1488	158	122	421	2399	3355	879	1236	860	504	240	1270	734
PDK4	146	146	12	6	0	0	26	13	73	44	0	1	488	9	4495	5
SLC22A16	1029	1398	1339	1379	323	340	230	1375	618	9	1	1	15	33	469	7308
ZMYND10	9	10	1	11	0	47	0	16	42	52	30	2	18	80	18	0
ABCB5	7	3	0	0	0	0	0	0	3	0	1	0	0	1	1	469
ARX	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
SLC25A13	1450	1772	1016	635	156	224	231	2335	3668	442	611	512	904	453	1817	231
ST7	4085	4301	1328	333	834	914	1475	4172	5155	915	345	394	194	821	723	2574
CDC27	7287	7348	4282	7762	1116	1545	2408	8931	13191	7608	8500	6257	6806	1715	5433	61156
SLC4A1	9	26	2	22	0	0	0	1	6	2	6	9	0	2	54	43355
CALCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
HCCS	1256	1611	808	740	304	196	594	1345	1908	1130	1085	1074	1067	336	2532	3543
DVL2	521	1015	347	127	61	111	229	960	1126	228	425	346	291	343	405	67
PRSS22	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0
UPF1	471	615	392	93	151	243	108	770	2044	586	916	524	394	642	1222	71
SKAP2	7540	11078	8722	7839	1184	2208	4431	14103	10099	10789	1547	2677	10977	6996	32265	1921
SLC25A5	12897	18905	14688	12583	4538	4598	8894	34490	30357	6749	11198	8649	6989	9563	20613	3200
CCDC109B	2310	1781	1703	3946	250	432	1720	2309	3199	1930	12855	9141	4468	862	5638	671
HOXA11	0	10	1	1	0	0	0	1	1	0	0	0	0	0	1	0
POLR2J	358	519	274	170	856	775	2949	674	657	250	465	211	173	663	749	197
DHX33	2510	2746	1975	753	1093	822	1724	3937	6565	721	1197	1085	613	647	1864	216
MEOX1	0	0	0	0	0	0	0	1	0	0	99	54	0	0	0	0
THSD7A	786	862	32	12	138	359	27	633	60	0	4	3	6	0	0	0
LIG3	3533	5045	2348	959	1212	1185	2596	5733	5086	2712	3330	2307	1885	1838	2889	348
RPAP3	3782	4537	3463	4322	425	618	922	5100	7217	4363	4867	3778	5381	1183	3461	654
ACSM3	5138	5523	631	116	133	102	451	4011	6360	295	749	571	796	84	191	136
AC004381.6	3224	3432	2018	608	452	888	921	4539	1849	53	42	13	49	537	63	669
CIAPIN1	1036	1459	1053	1131	115	462	699	2706	2959	1085	1795	1577	462	429	1117	288
FAM214B	346	483	153	155	45	71	199	543	341	446	186	85	140	95	1702	3097
COPZ2	40	29	15	0	0	0	0	22	1	317	9	27	305	0	108	1
PRKAR2B	2727	4035	1547	800	265	537	1514	13493	39299	164	189	164	44	2735	1578	16870
MSL3	1286	1779	1192	1166	288	454	1711	2579	2896	2023	5647	4452	3721	1318	5922	604
CREBBP	13691	15225	8561	16162	4456	6901	13126	12471	14312	28879	25392	15771	22758	16206	34708	11064
BZRAP1	229	658	987	166	10828	8073	8746	788	270	844	233	86	164	1689	702	14
MPO	343	48232	159567	119	913433	980334	1364448	267740	111341	51	21	24	37	21230	1713	15
PON1	37	22	4	1	2	0	0	1	21	18	0	1	22	0	0	0
GCFC2	3558	3534	1679	2507	407	356	880	3088	4129	1917	3793	2894	2601	448	1364	1022
WDR54	775	1212	735	156	133	473	1431	1168	1031	224	516	447	181	613	134	0
CROT	501	392	364	626	45	56	35	696	736	1176	906	587	695	195	288	11
ABCB4	59	93	52	112	8	113	84	17	23	93	72	39	4300	91	4	52
KMT2E	24530	29107	14250	29849	7314	7080	13428	24939	21706	45696	55024	42717	46406	11663	31648	13846
RHBDD2	994	1912	609	229	407	356	1138	5454	1608	1138	3367	2112	1015	985	2853	71
SOX8	6	4	1	0	0	0	0	1	2	0	109	93	10	0	0	0
IBTK	9302	9701	7231	7327	1355	1531	3542	17985	25240	7930	10264	8637	8436	2202	12662	1317
ZNF195	2732	3445	2233	1517	519	525	800	4111	4162	2019	2342	2000	1941	918	1422	208
MYCBP2	47652	54625	31770	44160	13366	14705	23206	61271	46665	38588	71740	52313	71399	17755	60522	2045
FBXL3	4569	5277	2625	5052	597	455	784	4763	6026	4953	8615	6117	6134	1472	5351	4194
ITGAL	3842	6416	9909	572	2146	4260	16717	4782	778	53487	25595	23653	6283	9503	33239	7
PDK2	1162	1354	423	99	573	646	1269	1055	1087	397	789	545	285	575	739	44
ITGA3	46	60	17	0	1	24	0	4	1	17	203	88	322	5	36	0
ZFX	12159	14327	7849	16527	967	1876	3381	13809	11649	15890	18102	15223	16078	4743	13018	5727
LAMP2	34723	41459	19946	11225	5769	6558	13328	39538	29612	14420	12308	9440	8045	10798	53359	5101
GGNBP2	4727	5847	4661	5823	1413	1288	3919	7345	9239	10453	18119	14442	10152	8743	11139	4607
ITGA2B	157	1254	17	1	33	270	0	8169	17306	17	25	6	10	71	16	1
ASB4	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
GDE1	4652	5509	3492	2626	1221	1511	1969	7629	8083	3536	2973	2695	1799	1961	8733	8922
C19orf60	139	270	127	19	165	230	387	249	385	160	238	116	86	287	283	9
CRLF1	7	2	10	9	2	2	0	7	10	8	34	29	5	2	19	0
OSBPL7	579	449	227	24	110	149	194	335	389	418	426	265	202	288	200	0
TMEM98	1221	1522	163	0	0	5	0	1038	467	0	0	0	0	0	0	276
YBX2	12	15	9	4	0	0	0	9	84	0	2	1	0	0	1	120
KRT33A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
CCL18	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0
CCL3	0	5	24	0	0	0	0	15	3	333	0	36	1	0	270	0
SYNRG	7207	7464	5728	9553	1222	572	1714	7692	8000	27648	29453	26531	21854	3002	6875	4005
CACNG3	0	0	0	0	0	1	0	0	0	0	0	22	2	0	1	0
TMEM132A	0	0	0	1	0	0	0	0	0	13	43	52	172	16	646	1
AP2B1	35948	38091	21421	19042	7530	7981	12871	42645	43064	29057	29320	23982	16710	16914	19969	31782
TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF263	1554	2597	874	1120	472	253	233	1800	2335	1589	2553	1852	1621	733	2112	270
CX3CL1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	3	0
SPATA20	1345	1689	905	13	488	745	984	1584	981	267	279	233	263	847	1139	1
CACNA1G	1	0	0	0	0	0	0	1	0	0	2	0	11	0	6	0
TNFRSF12A	0	6	1	0	6	0	0	2	18	8	1	1	0	5	17	0
DLX6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K9	574	465	352	84	1	2	0	492	264	544	994	794	3977	6	11	1
RALA	3512	3592	2840	3380	276	312	580	4847	2780	2215	3624	2872	2125	1085	2051	221
BAIAP2L1	98	147	75	10	18	26	69	105	30	32	124	80	95	119	528	0
KDM7A	1724	1947	491	2120	42	21	237	1457	3282	9142	10381	8408	12007	542	16462	28075
ETV1	82	172	56	34	3	1	9	85	83	0	12	92	12	11	27	0
AGK	3352	4088	2425	2039	1226	1034	1405	4659	5594	7451	3567	2930	1997	1360	1310	220
ALDH3B1	620	779	426	26	750	1168	1313	1344	907	55	3	2	9	135	7374	45
TTC22	351	201	226	1	10	18	0	50	1	2052	789	612	139	10	0	1
PHTF2	1127	970	1003	1051	66	48	94	1067	830	1389	2780	1335	4165	468	1284	362
CCL26	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0
FARP2	2050	2294	1124	856	294	367	1174	2302	4895	975	1012	721	4912	1679	2536	1627
USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGCT	1793	2112	1489	987	498	596	853	3459	3710	495	867	802	696	716	786	334
DBF4	864	899	919	2003	67	78	255	1366	1829	1177	1565	1211	1141	531	504	2411
TBXA2R	114	180	115	88	25	0	12	87	27	24	33	91	44	13	2	0
IFRD1	2489	2388	1334	1342	215	160	302	2546	1540	2076	3551	2888	4267	681	5524	555
LGALS14	0	0	0	0	0	0	0	5	0	0	62	2	0	0	0	0
COX10	824	1002	694	286	128	167	93	1276	1574	907	1286	827	828	201	763	125
GTF2IRD1	90	135	65	98	12	15	35	134	364	1	31	1	10	78	5	1
PAF1	1526	1865	1039	822	642	763	1359	2200	2009	1117	1364	835	1430	3355	1848	306
VPS41	6410	7731	5047	3659	701	795	1911	7592	6996	5494	4168	3283	5661	4857	8200	1228
ARHGAP44	137	156	82	51	66	76	0	93	94	83	84	71	39	35	14	13
ELAC2	1788	2828	1781	944	685	775	1294	3204	5086	1222	1654	1292	893	837	1131	359
SCIN	5	151	1	2	0	5	0	124	25	2	1	3	300	21	28	1
ARSD	2738	2951	1489	1058	479	510	725	2952	1010	936	96	147	238	218	2924	1
PNPLA4	492	593	330	292	82	31	88	509	1251	205	469	337	368	12	279	134
MYH13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ADIPOR2	2750	2546	2119	2550	334	474	1589	3692	4811	4421	1852	1700	1719	1167	4795	4100
CDKL3	143	159	50	148	5	3	54	134	139	114	153	129	145	50	123	83
UPP2	9	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PRSS21	147	388	382	14	412	512	119	518	502	2	11	36	1	21	26	0
MARK4	859	951	462	199	335	663	1093	965	821	385	467	307	535	594	1200	0
PROM1	26862	22005	17446	226	1837	2085	1296	10890	1965	20	0	1	3	248	19	0
CCDC124	53	87	104	3	65	93	32	160	147	63	49	61	45	31	106	5
CEACAM21	541	286	220	337	55	172	340	106	15	412	805	491	230	177	86	1
PAFAH1B1	12237	12657	10185	14487	2122	2713	5181	16652	14520	21815	15884	13350	10649	7790	16934	6820
NOS2	1	1	0	5	0	0	0	0	0	0	6	1	0	0	1	0
DNAH9	3	0	5	11	2	4	7	14	9	14	30	12	6	13	6	4
KIAA0100	9669	13544	10185	3971	5443	6407	14036	19735	16122	5381	7151	5195	6332	14784	15217	919
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAS7	769	851	2889	4483	2344	2896	6351	1040	94	8973	182	1018	3640	3243	60736	2
TRAPPC6A	233	570	102	6	1035	900	1979	430	450	75	175	159	63	526	158	1
MATK	441	844	444	5	233	553	289	708	644	1227	65	259	78	122	4	0
CEACAM7	1	0	0	0	0	0	0	1	0	0	0	0	0	29	1	0
CD79B	277	468	187	2074	54	17	98	154	61	215	138	44	3619	42	188	1
SCN4A	194	181	143	83	1	2	0	109	15	11	14	2	262	0	1	0
ST7L	1826	1509	977	1103	270	246	539	1888	1594	1523	3614	2792	2570	905	2227	552
TKTL1	3	0	0	7	1	0	0	14	92	4723	700	664	123	0	23	1
PAX6	190	294	137	50	12	3	254	251	304	220	358	288	229	13	136	15
RPUSD1	196	218	275	6	86	40	87	354	550	122	135	78	66	294	306	2
RHBDF1	74	37	49	1	5	0	7	20	3	0	1	2	4	5	2	0
LUC7L	1906	2427	1190	1621	398	444	1009	2826	2143	2595	2747	2405	2726	1454	3238	367
CACNA2D2	193	236	139	37	270	97	101	238	48	3379	154	612	259	2	11	20
BAIAP3	1	1	6	0	0	0	0	10	2	4	40	34	328	16	13	0
TSR3	211	463	240	5	189	150	285	392	468	125	242	189	159	253	379	7
PIGQ	198	586	303	10	107	257	589	462	1160	147	86	87	46	137	394	299
CRAMP1L	578	835	406	193	47	99	77	690	641	481	247	195	236	541	235	107
TEAD3	26	22	2	8	0	0	0	3	6	15	22	29	1	39	10	1
SELE	2	13	0	0	0	0	0	0	0	8	24	21	28	0	4	0
DNAJC11	1357	1498	1109	492	1274	711	1914	2129	3250	654	947	702	532	807	1315	466
FMO3	0	0	0	0	0	0	0	2	1	0	0	0	56	0	0	0
MYLIP	2584	3322	1614	3653	536	614	1071	3925	3971	7215	12111	10167	8040	2132	5220	1381
NOX1	6	16	11	14	0	0	0	14	45	8	10	13	23	0	5	6
E2F2	397	208	576	7382	486	562	2191	721	679	106	223	114	516	7896	410	14809
PSMB1	3906	6088	3024	3404	551	1074	1149	6787	7808	4160	5300	4290	2692	1453	4824	2750
SYN1	139	125	124	17	130	100	483	124	42	15	34	21	40	66	85	0
JARID2	9855	14760	9949	8013	5365	4974	10171	19299	21251	10359	6033	5008	12346	6730	18936	3557
CDKL5	853	710	676	766	112	179	786	900	336	659	1146	741	1351	400	1481	31
CAMK1G	0	0	0	0	0	0	0	0	1	2	3	0	0	0	6	0
CDK11A	889	855	440	600	584	511	865	956	1267	1234	1418	1003	876	1016	1469	685
NADK	481	787	261	220	69	163	223	733	1132	500	413	279	876	1185	4733	81
TFAP2B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DLEC1	47	90	44	17	17	359	58	97	59	175	329	194	77	236	367	3
CYTH3	324	455	210	478	47	238	119	496	823	725	294	416	466	449	439	172
ADAM22	3950	3958	2245	881	277	278	57	3485	3050	1709	1390	1831	588	1191	336	57
SYPL1	14168	16132	6263	5964	1676	1764	2037	11929	7927	1111	4151	2801	7493	1237	4167	523
CYB561	1017	1056	654	55	102	172	61	637	412	430	542	440	34	64	334	0
SPAG9	7754	7589	4901	5324	1052	1239	2559	6871	5981	4757	4846	3332	3437	4076	8029	1829
CELSR3	100	75	38	8	102	16	50	157	458	69	206	119	10	52	63	0
AASS	2745	2377	1123	1326	164	121	254	2327	683	141	327	218	837	219	49	128
PLEKHG6	169	233	189	285	31	19	89	144	68	231	178	130	3	86	284	6
SS18L2	1473	1266	973	761	105	103	1496	1493	1548	1799	1762	1462	1210	468	1049	812
MPND	82	224	94	6	49	35	345	243	223	96	92	46	24	86	159	4
MGST1	1796	2628	2801	0	1196	1452	1933	5355	2376	26	1	0	1	100	4046	0
CRY1	915	1134	746	842	112	129	281	1499	1953	2519	1933	1576	467	684	962	615
PGLYRP1	0	8	0	0	0	0	0	0	0	2	1	4	0	0	13	0
NFIX	3755	5940	1586	404	1056	1414	1221	4554	7212	71	422	311	217	127	1247	12090
ST3GAL1	7494	7603	3424	3184	580	792	949	6238	5940	4450	11027	8185	6093	2501	6999	2884
MMP25	7	9	12	1	11	0	0	7	14	101	26	33	3	52	785	0
IL32	0	0	1	1	0	0	0	0	0	1454	5861	4791	2	0	8	2
PKD1	461	914	345	35	413	954	2356	585	620	220	329	130	210	1389	334	7
MAPK8IP2	0	2	0	0	1	0	0	0	1	1	2	2	0	1	0	0
MED24	1412	1945	819	293	508	662	1168	2250	3485	684	890	436	596	1088	1016	352
RHOBTB2	505	406	335	49	103	196	1227	539	429	513	253	327	1233	504	364	14
HEATR5B	8002	8697	5118	3312	1170	1712	4243	12801	12131	9173	9990	5938	9906	4997	6498	2259
SEC62	12075	12917	8279	11171	1956	2077	3990	11727	12422	10929	16866	12930	23486	3989	12045	60649
RPS20	99906	133470	73836	42398	9457	9897	15678	153377	133497	31219	182463	107232	76613	22156	44476	13708
CSDE1	96150	115272	54942	40164	22321	24145	46965	124368	112599	48429	115454	81532	63568	49259	104759	37142
UBE3C	3854	5101	2995	2478	843	1135	1531	6250	7461	4347	6822	5214	3699	2040	7025	3175
REV3L	7934	7530	6504	6111	732	599	1019	9464	11065	6832	9334	7390	9407	1124	6388	2953
TENM1	9	29	103	12	1	3	0	4	17	4175	4001	3081	5	0	220	23
PAX7	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
MASP2	1277	1293	575	1094	233	202	621	1262	1094	945	2019	1607	1716	977	966	546
IYD	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0
FAM76A	533	571	510	662	49	89	184	623	845	899	1324	1151	838	245	840	402
TRAF3IP3	2005	2482	2357	863	323	505	666	2704	1521	9367	14243	9312	5045	1182	6280	66
POMT2	279	450	229	206	183	178	150	488	527	100	141	90	278	323	215	112
VTA1	3259	4171	3975	4792	511	723	792	6522	8343	3787	3963	2778	2997	931	5542	2212
MLXIPL	0	1	0	0	0	0	0	0	1	2	1	1	0	0	7	0
BAZ1B	12650	15942	15100	20181	4316	5172	9358	25627	31046	18991	20240	15974	13760	18596	12068	14264
RANBP9	6516	8165	5460	12234	1908	2148	4588	11059	12022	6767	9816	7115	4853	4845	7224	4876
ETV7	10	7	0	4	0	0	0	0	0	31	26	17	38	0	70	0
SPRTN	1909	1519	1016	1528	157	67	218	1954	2393	1634	2014	1616	1617	730	2063	732
METTL13	1799	2582	2043	918	489	518	504	3436	5492	1398	1195	909	803	524	1150	809
DYRK4	614	910	796	410	389	584	1050	1187	1346	410	630	426	938	207	528	87
ZNF207	34630	35622	22702	30953	9949	9029	14166	45412	49902	28580	36004	25958	26202	15402	37126	12652
UQCRC1	1271	1662	925	237	474	500	673	2233	3121	387	875	755	347	1764	2527	186
STARD3NL	3777	4347	2459	3103	415	362	805	4719	3092	4536	1343	1559	1705	2011	3842	604
CD9	414	789	120	14700	25	0	54	751	225	13	54	174	1276	26	701	7
HHATL	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NCAPD2	4544	5197	6267	5808	2836	5115	11886	12280	12716	3484	4360	3346	1709	14575	4042	4458
IFFO1	184	306	181	92	212	334	809	231	201	394	481	216	126	416	1103	22
GIPR	0	11	0	0	8	1	4	2	5	47	29	46	1	0	3	0
PHF7	601	463	217	297	91	357	163	621	946	183	346	224	368	204	138	268
SEMA3G	44	0	4	0	0	25	35	24	117	1	60	5	7	12	1	14
NISCH	2166	3232	1970	402	794	1883	3593	3312	3696	1161	2189	1284	1615	2492	4124	60
STAB1	284	229	340	0	292	636	1507	193	87	27	0	1	0	94	6669	0
FUZ	86	128	131	34	34	23	13	113	315	53	127	97	38	35	128	60
SLC6A13	4	5	0	0	0	0	0	4	3	20	26	11	23	0	1	0
IDS	32240	26775	7744	2346	2879	2521	7422	11485	3770	30174	30349	23603	16597	5622	28392	89
PRSS3	82	30	187	5	1	2	0	47	1	8	2	11	0	0	0	0
ZNF200	759	651	480	471	6	60	17	544	786	1418	1149	974	892	113	416	630
CD4	3919	1944	378	75	253	303	907	596	2982	339	35430	42	6	3794	62531	8
LRRC23	599	488	198	58	113	28	7	373	270	99	188	154	121	105	241	31
BTK	2819	4537	3330	3452	533	810	1789	5191	7895	98	2	3	7303	1654	6427	643
HFE	10	11	2	43	1	1	0	1	5	52	137	42	57	1	908	0
SCMH1	3961	3908	2429	3670	4199	5409	8420	4240	1679	460	1714	942	1652	6135	1094	369
FYN	2832	2963	1607	3380	435	775	1072	2481	850	28663	24515	19279	3268	1256	14882	16
HIVEP2	6128	7471	4612	12184	1462	1018	846	5813	4912	9637	52027	27301	14672	678	2943	41
FMO1	3	20	9	19	0	7	1	30	33	3	3	2	202	11	7	3
TCEB3	2630	3202	1839	2300	506	409	342	3669	3505	1674	1872	1479	3343	4078	4923	820
LYPLA2	396	792	346	46	133	519	100	853	1117	388	605	523	158	289	1160	5
CLCN6	1188	2323	906	604	249	651	1093	1636	2035	795	758	533	3041	876	2486	194
MRC2	55	167	180	6	447	289	709	334	46	5	31	30	0	154	30	159
NME2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
TSPAN9	4	45	1	29	0	0	0	9	0	1	11	0	2	1	1	0
BTBD7	5947	6006	4388	6414	932	1022	4136	7071	7135	5533	5152	3968	4955	1671	8440	2048
APBA3	53	70	32	4	11	52	23	66	90	80	96	61	38	25	83	0
MKS1	366	494	340	110	181	121	126	609	1211	109	246	200	80	118	109	97
ABHD5	665	784	672	735	163	103	114	1473	1950	843	640	340	556	390	5768	5901
KAL1	860	1074	0	0	0	0	0	70	1	0	0	0	0	0	26	0
AKAP8L	1818	2100	667	586	560	880	947	1447	2111	834	2014	1163	993	1862	1823	1371
MBTD1	5832	7319	4414	6073	1254	1354	1755	9483	11217	3451	3774	2897	3856	1708	3442	711
UTP18	3400	3942	2795	2900	221	156	170	4066	4984	2199	4199	3354	2901	455	2268	625
RNF216	5531	6594	3594	2373	1167	1010	2434	6684	8835	5316	8804	6503	5969	2082	6863	318
TTC19	7341	8689	4655	3248	861	1081	2917	9537	10236	4693	5658	4093	4247	3655	4203	645
PTBP1	5479	10184	6613	2197	8660	8607	20408	14220	20878	3041	4434	3374	2683	8655	8235	1247
DPF1	9	16	13	4	27	0	2	35	20	16	2	1	51	13	18	0
SYT7	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
LARS2	1194	1460	1193	884	303	519	1306	1977	2746	946	1127	986	1051	642	829	308
PIK3C2A	9468	9209	3526	2874	640	492	928	6604	5803	11176	8320	6674	7433	1278	8109	2156
PLAUR	873	1077	799	95	2084	2816	3029	14557	689	112	36	17	3	1795	36680	18
ANLN	1369	1206	2825	6013	641	825	1132	5920	5509	176	118	76	154	3009	1235	11210
WIZ	616	1270	484	163	669	1089	1305	1045	1161	287	242	204	151	701	633	38
RABGAP1	9645	10127	4746	5740	449	544	982	6118	5725	5167	6476	4189	5861	2078	5360	830
DCN	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0
QPCTL	38	90	48	2	58	99	824	114	161	14	73	19	40	42	71	0
PPP5C	1346	1609	1528	531	996	934	2452	3406	3109	1555	946	1117	964	1479	1076	162
CEP68	12601	11365	4802	5375	885	957	1728	8021	7348	3468	10148	7421	7409	2397	3959	776
MAP4K3	3191	3321	1548	2225	279	231	537	3280	2649	1006	2025	1391	756	587	1570	666
ZBTB32	27	17	6	13	0	0	0	7	2	6	20	46	100	0	4	1
TYROBP	60	304	533	1	778	2304	7816	671	137	12095	43	325	1	2799	46061	3
TMEM159	613	654	326	76	31	115	242	815	490	145	335	211	125	145	298	1
GABRA3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA1	2197	2416	5104	5757	1952	1975	3812	8038	9577	761	570	722	989	4661	1207	5850
ERCC1	2134	2333	1346	231	664	1138	4611	2897	2674	506	1026	831	765	4167	2234	64
CD22	352	236	1464	5942	365	39	890	50	26	316	2	9	32961	615	33	0
MBTPS2	1607	2299	1427	1189	422	271	373	2950	2858	1388	1736	1330	1130	445	1560	58
PRICKLE3	261	454	131	19	42	264	73	336	523	49	96	69	128	106	439	21
LTF	0	1	198	12	0	1	0	0	0	1	9	3	11	0	167	115
EXTL3	1203	1582	1246	331	306	533	1790	2036	1419	2927	998	990	603	2090	3309	27
