Var1	Var2	value	FDR	Rank
CLP	WBC_COUNT	0.004718484430555	0.627558429263815	36
GMP	MPV	0.00560978298357948	0.740491353832491	37
MPP	RETIC_COUNT	0.00568160360915606	0.744290072799444	38
pDC	RBC_COUNT	0.00811909545913111	1	39
MPP	MPV	0.00956611481151484	1	40
GMP-C	NEUTRO_COUNT	0.0105279801769538	1	41
LMPP	MONO_COUNT	0.0149625650916329	1	42
MEP	MPV	0.0165152976321742	1	43
MPP	PLT_COUNT	0.0168310021543715	1	44
CLP	EO_COUNT	0.0172510264473181	1	45
GMP-A	WBC_COUNT	0.0185812354531041	1	46
GMP	MONO_COUNT	0.0230246374868792	1	47
GMP-C	MONO_COUNT	0.0236555485432021	1	48
GMP-A	LYMPH_COUNT	0.0267242629231457	1	49
HSC	PLT_COUNT	0.0271859640325226	1	50
Mono	MONO_COUNT	0.0289803542178925	1	51
GMP-C	MCV	0.0413044635870506	1	52
GMP-B	MONO_COUNT	0.0468120317422681	1	53
HSC	MCH	0.0498696885859409	1	54
GMP-C	RETIC_COUNT	0.0548095502456745	1	55
Mono	LYMPH_COUNT	0.0552317022547913	1	56
MPP	LYMPH_COUNT	0.0569626518049174	1	57
CLP	MONO_COUNT	0.0605796418063561	1	58
GMP-A	PLT_COUNT	0.0659484858131419	1	59
GMP-A	MCH	0.0691049967955884	1	60
Mono	RETIC_COUNT	0.0705744090661521	1	61
MEP	HCT	0.0710224722299799	1	62
MPP	MEAN_RETIC_VOL	0.0763718330169161	1	63
MEP	LYMPH_COUNT	0.0789893672736229	1	64
GMP	RETIC_COUNT	0.0840838446164052	1	65
LMPP	LYMPH_COUNT	0.11377818916883	1	66
MPP	MCH	0.11638941687978	1	67
Mono	HCT	0.117428813312802	1	68
CLP	MEAN_RETIC_VOL	0.119463592213656	1	69
HSC	RBC_COUNT	0.127307185324425	1	70
GMP	EO_COUNT	0.131015794031222	1	71
GMP-A	MPV	0.133308848623229	1	72
GMP-C	MEAN_RETIC_VOL	0.136302566559467	1	73
GMP-B	RBC_COUNT	0.155588699667498	1	74
CMP	LYMPH_COUNT	0.159142456667882	1	75
MPP	MONO_COUNT	0.159836380500543	1	76
Mono	NEUTRO_COUNT	0.162997117488532	1	77
GMP-B	RETIC_COUNT	0.174828574847501	1	78
MEP	HGB	0.174929962461667	1	79
GMP-A	NEUTRO_COUNT	0.17608784271606	1	80
MPP	MCV	0.176810098093378	1	81
HSC	MCV	0.184611225213822	1	82
LMPP	HGB	0.185102895403482	1	83
GMP-B	HGB	0.185597555301393	1	84
GMP-B	MEAN_RETIC_VOL	0.200638510528007	1	85
GMP-C	HCT	0.204750819331736	1	86
Mono	WBC_COUNT	0.21488731662461	1	87
MPP	HCT	0.266702014658194	1	88
GMP-B	HCT	0.281100906962078	1	89
CLP	MCH	0.291839670706453	1	90
GMP-C	HGB	0.336105105611665	1	91
GMP-B	MCV	0.409778021072882	1	92
GMP	MCH	0.412128617309887	1	93
GMP-C	MPV	0.412591844145714	1	94
GMP-C	MCH	0.425001654261539	1	95
GMP-A	HGB	0.426512353833727	1	96
CLP	MPV	0.427037595653128	1	97
GMP-B	MCH	0.431100900802057	1	98
pDC	MEAN_RETIC_VOL	0.443254414129385	1	99
GMP-B	WBC_COUNT	0.443624981755071	1	100
LMPP	MCV	0.444169701105278	1	101
HSC	HGB	0.446433634614982	1	102
Mono	HGB	0.471556013881043	1	103
MPP	HGB	0.500634072659508	1	104
pDC	WBC_COUNT	0.503184969581599	1	105
Mono	MPV	0.50735602504414	1	106
GMP-A	RBC_COUNT	0.510590421928056	1	107
HSC	HCT	0.530196807623732	1	108
GMP-B	MPV	0.538522929271684	1	109
MPP	NEUTRO_COUNT	0.540569209109831	1	110
CMP	MONO_COUNT	0.551751902315199	1	111
Mono	MEAN_RETIC_VOL	0.553050577861868	1	112
GMP-C	RBC_COUNT	0.55409512588359	1	113
LMPP	MCH	0.576262632135149	1	114
LMPP	MEAN_RETIC_VOL	0.60558058230513	1	115
MEP	WBC_COUNT	0.610043968449099	1	116
GMP	RBC_COUNT	0.616343347725974	1	117
LMPP	RETIC_COUNT	0.622799288882872	1	118
HSC	NEUTRO_COUNT	0.628933125797052	1	119
HSC	LYMPH_COUNT	0.636343326391057	1	120
HSC	MEAN_RETIC_VOL	0.637510391023747	1	121
CLP	MCV	0.66222426728617	1	122
pDC	MONO_COUNT	0.668701420950725	1	123
GMP-A	MEAN_RETIC_VOL	0.671203829813264	1	124
Mono	PLT_COUNT	0.708992634123652	1	125
HSC	EO_COUNT	0.715388722702961	1	126
GMP-A	HCT	0.724630607735382	1	127
GMP	MEAN_RETIC_VOL	0.74456521882272	1	128
GMP	LYMPH_COUNT	0.745059896863182	1	129
GMP-B	PLT_COUNT	0.763901222143082	1	130
CLP	NEUTRO_COUNT	0.764349648813174	1	131
GMP-B	EO_COUNT	0.778739111305982	1	132
GMP-A	MONO_COUNT	0.820762919767729	1	133
MEP	MONO_COUNT	0.826388925616945	1	134
LMPP	HCT	0.834948641750243	1	135
MEP	NEUTRO_COUNT	0.842946516793236	1	136
GMP	HGB	0.857326496541841	1	137
HSC	WBC_COUNT	0.865272670019487	1	138
GMP-A	MCV	0.875728116324188	1	139
pDC	NEUTRO_COUNT	0.876595131836946	1	140
LMPP	MPV	0.880400845667084	1	141
CLP	RETIC_COUNT	0.916132092149331	1	142
MPP	WBC_COUNT	0.91668144768334	1	143
Mono	MCV	0.917284395360411	1	144
pDC	RETIC_COUNT	0.922019550255555	1	145
GMP-B	LYMPH_COUNT	0.933711572162779	1	146
HSC	RETIC_COUNT	0.935652573185171	1	147
pDC	HCT	0.93772633352314	1	148
Mono	RBC_COUNT	0.950735831660381	1	149
GMP-C	PLT_COUNT	0.951741850340153	1	150
GMP-B	NEUTRO_COUNT	0.958711336885495	1	151
Mono	MCH	0.958817760309021	1	152
LMPP	RBC_COUNT	0.959270450437757	1	153
CLP	HCT	0.960181223253235	1	154
GMP	HCT	0.97400171064626	1	155
MEP	EO_COUNT	0.980729361151568	1	156
GMP	MCV	0.982093597078648	1	157
CLP	HGB	0.993595173145079	1	158
pDC	MPV	0.995756037271198	1	159
pDC	PLT_COUNT	0.996014631302762	1	160
CLP	PLT_COUNT	0.997247018018299	1	161
CLP	RBC_COUNT	0.997539646129288	1	162
pDC	HGB	0.99802477291294	1	163
GMP	PLT_COUNT	0.998384825733943	1	164
LMPP	PLT_COUNT	0.9986991578834	1	165
pDC	MCV	0.999571433569934	1	166
pDC	MCH	0.999913494258477	1	167
pDC	EO_COUNT	0.999999987778782	1	168
