Variant1	Class1	PP1	Variant2	Class2	PP2	trait	distance	regionA	regionB
chr22:44324730-44324731	coding	0.4207	chr22:44324727-44324728	coding	0.2706	HGB	1	region121	region121
chr11:116712608-116712609	intergenic	0.1195	chr11:116712605-116712606	intergenic	0.1195	PLT_COUNT	1	region153	region153
chr22:44324730-44324731	coding	0.4648	chr22:44324727-44324728	coding	0.3298	PLT_COUNT	1	region231	region231
chr6:135418635-135418636	accessible	0.4974	chr6:135418632-135418633	accessible	0.1155	PLT_COUNT	1	region80	region80
chr6:6901659-6901660	accessible	0.3808	chr6:6901663-6901664	accessible	0.2742	LYMPH_COUNT	2	region103	region103
chr8:130683924-130683925	intergenic	0.1226	chr8:130683928-130683929	intergenic	0.1184	PLT_COUNT	2	region128	region128
chr19:836149-836150	intergenic	0.2393	chr19:836144-836145	intergenic	0.1798	BASO_COUNT	3	region48	region48
chr16:11320618-11320619	intergenic	0.1307	chr16:11320613-11320614	intergenic	0.1303	EO_COUNT	3	region160	region160
chr6:127523603-127523604	intergenic	0.1449	chr6:127523608-127523609	intergenic	0.1395	HCT	3	region49	region49
chr6:127523603-127523604	intergenic	0.1599	chr6:127523608-127523609	intergenic	0.1483	HGB	3	region62	region62
chr17:55463336-55463337	accessible	0.3432	chr17:55463341-55463342	accessible	0.2155	MPV	3	region205	region205
chr6:25297161-25297162	accessible	0.2164	chr6:25297166-25297167	accessible	0.2087	MPV	3	region77	region77
chr1:108705893-108705894	intron	0.1656	chr1:108705898-108705899	intron	0.1609	NEUTRO_COUNT	3	region10	region10
chr16:81604256-81604257	intron	0.1489	chr16:81604251-81604252	intron	0.1167	WBC_COUNT	3	region213	region213
chr6:26091185-26091186	coding	0.8628	chr6:26091179-26091180	coding	0.6615	HGB	4	region27	region27
chr1:47676525-47676526	accessible	0.1069	chr1:47676531-47676532	accessible	0.1062	MCH	4	region4	region4
chr6:26091179-26091180	coding	0.424	chr6:26091185-26091186	coding	0.1255	MCH	4	region49	region49
chr19:33084340-33084341	intergenic	0.149	chr19:33084346-33084347	intergenic	0.1158	MCV	4	region187	region187
chr6:32506021-32506022	intergenic	0.479	chr6:32506014-32506015	intergenic	0.4769	EO_COUNT	5	region1005	region1005
chr2:242191689-242191690	intron	0.1257	chr2:242191682-242191683	intron	0.1256	EO_COUNT	5	region19	region19
chr12:48214825-48214826	promoter	0.1889	chr12:48214833-48214834	promoter	0.1751	PLT_COUNT	6	region167	region167
chr6:108053978-108053979	promoter	0.379	chr6:108053969-108053970	promoter	0.1974	LYMPH_COUNT	7	region100	region100
chr1:115062518-115062519	intergenic	0.1537	chr1:115062527-115062528	intergenic	0.1495	MCH	7	region7	region7
chr1:115062527-115062528	intergenic	0.2456	chr1:115062518-115062519	intergenic	0.2452	MCV	7	region10	region10
chr5:52095943-52095944	coding	0.996	chr5:52095934-52095935	coding	0.225	RETIC_COUNT	7	region44	region44
chr19:2153909-2153910	intergenic	0.1155	chr19:2153900-2153901	intergenic	0.1153	WBC_COUNT	7	region228	region228
chr12:751609-751610	promoter	0.1251	chr12:751619-751620	promoter	0.1244	LYMPH_COUNT	8	region154	region154
chr6:109593302-109593303	intergenic	0.4439	chr6:109593292-109593293	intergenic	0.3579	MCH	8	region53	region53
chr6:109593302-109593303	intergenic	0.5158	chr6:109593292-109593293	intergenic	0.4358	MCV	8	region56	region56
chr12:751619-751620	promoter	0.2639	chr12:751609-751610	promoter	0.2076	MONO_COUNT	8	region156	region156
chr20:55985099-55985100	accessible	0.1538	chr20:55985089-55985090	accessible	0.1209	MPV	8	region1011	region1011
chr12:57023274-57023275	promoter	0.6205	chr12:57023284-57023285	promoter	0.607	MPV	8	region150	region150
chr6:43737805-43737806	promoter	0.3312	chr6:43737794-43737795	promoter	0.1309	HGB	9	region32	region32
chr11:72479692-72479693	intron	0.2903	chr11:72479681-72479682	intron	0.2894	MPV	9	region141	region141
chr5:102543864-102543865	intergenic	0.3003	chr5:102543875-102543876	intergenic	0.1597	NEUTRO_COUNT	9	region50	region50
chr20:1930885-1930886	intergenic	0.1825	chr20:1930897-1930898	intergenic	0.1652	LYMPH_COUNT	10	region194	region194
chr20:1930885-1930886	intergenic	0.1825	chr20:1930873-1930874	intergenic	0.1299	LYMPH_COUNT	10	region194	region194
chr20:1930897-1930898	intergenic	0.2302	chr20:1930885-1930886	intergenic	0.1673	PLT_COUNT	10	region226	region226
chr20:1930873-1930874	intergenic	0.1865	chr20:1930885-1930886	intergenic	0.1673	PLT_COUNT	10	region226	region226
chr5:95163437-95163438	accessible	0.9676	chr5:95163449-95163450	accessible	0.2131	RETIC_COUNT	10	region47	region47
chr14:103847274-103847275	accessible	0.2183	chr14:103847287-103847288	accessible	0.1979	MONO_COUNT	11	region163	region163
chr19:6801966-6801967	accessible	0.6175	chr19:6801953-6801954	accessible	0.3574	MPV	11	region230	region230
chr1:248038197-248038198	intron	0.2431	chr1:248038210-248038211	intron	0.1896	PLT_COUNT	11	region1	region1
chr12:4334308-4334309	intergenic	0.1231	chr12:4334295-4334296	intergenic	0.1212	WBC_COUNT	11	region191	region191
chr11:2320224-2320225	accessible	0.1093	chr11:2320210-2320211	accessible	0.1043	MCV	12	region139	region139
chr9:273160-273161	promoter	0.3532	chr9:273145-273146	promoter	0.3296	PLT_COUNT	13	region137	region137
chr5:102516599-102516600	intron	0.4948	chr5:102516583-102516584	intron	0.4941	LYMPH_COUNT	14	region52	region52
chr19:33072085-33072086	promoter	0.4269	chr19:33072069-33072070	promoter	0.3656	MCH	14	region179	region179
chr19:33072069-33072070	promoter	0.3139	chr19:33072085-33072086	promoter	0.2968	MCV	14	region187	region187
chr5:102516583-102516584	intron	0.1482	chr5:102516599-102516600	intron	0.1479	NEUTRO_COUNT	14	region50	region50
chr1:247603396-247603397	intron	0.2142	chr1:247603380-247603381	intron	0.1065	PLT_COUNT	14	region1	region1
chr5:102516583-102516584	intron	0.4976	chr5:102516599-102516600	intron	0.497	WBC_COUNT	14	region55	region55
chr8:30279470-30279471	intron	0.1218	chr8:30279453-30279454	intron	0.1112	MCH	15	region117	region117
chr8:30279470-30279471	intron	0.144	chr8:30279453-30279454	intron	0.1243	MCV	15	region121	region121
chr8:30279453-30279454	intron	0.1604	chr8:30279470-30279471	intron	0.1342	NEUTRO_COUNT	15	region106	region106
chr6:15177972-15177973	intergenic	0.1111	chr6:15177954-15177955	intergenic	0.1109	MCV	16	region65	region65
chr9:273160-273161	promoter	0.8003	chr9:273178-273179	promoter	0.1203	MPV	16	region123	region123
chr9:273160-273161	promoter	0.3532	chr9:273178-273179	promoter	0.3048	PLT_COUNT	16	region137	region137
chr1:205244972-205244973	intergenic	0.3414	chr1:205244953-205244954	intergenic	0.1466	MPV	17	region1	region1
chr20:31108108-31108109	accessible	0.2896	chr20:31108088-31108089	accessible	0.1839	MCV	18	region195	region195
chr4:6891435-6891436	accessible	0.3269	chr4:6891455-6891456	accessible	0.1989	MPV	18	region55	region55
chr4:6891435-6891436	accessible	0.5171	chr4:6891455-6891456	accessible	0.1377	PLT_COUNT	18	region56	region56
chr6:43806335-43806336	accessible	0.1701	chr6:43806315-43806316	accessible	0.1416	RBC_COUNT	18	region41	region41
chr20:4136837-4136838	accessible	0.1474	chr20:4136857-4136858	intron	0.2048	RETIC_COUNT	18	region131	region131
chr12:122465717-122465718	intron	0.2702	chr12:122465738-122465739	intron	0.1711	MCH	19	region139	region139
chr12:122465717-122465718	intron	0.2676	chr12:122465738-122465739	intron	0.1229	MCV	19	region144	region144
chr6:110719603-110719604	intron	0.3812	chr6:110719624-110719625	intron	0.381	MPV	19	region80	region80
chr5:35852947-35852948	accessible	0.292	chr5:35852969-35852970	accessible	0.1914	LYMPH_COUNT	20	region51	region51
chr7:151415233-151415234	intron	0.4739	chr7:151415256-151415257	intron	0.2508	HCT	21	region54	region54
chr7:151415233-151415234	intron	0.6155	chr7:151415256-151415257	intron	0.1989	HGB	21	region67	region67
chr7:21397471-21397472	accessible	0.4118	chr7:21397448-21397449	accessible	0.1932	MEAN_RETIC_VOL	21	region81	region81
chr7:151415256-151415257	intron	0.3462	chr7:151415233-151415234	intron	0.1694	RBC_COUNT	21	region55	region55
chr12:40509185-40509186	intergenic	0.1209	chr12:40509209-40509210	intergenic	0.1029	BASO_COUNT	22	region35	region35
chr9:130628524-130628525	intergenic	0.7021	chr9:130628500-130628501	intergenic	0.6981	HGB	22	region77	region77
chr17:42451281-42451282	intron	0.1318	chr17:42451305-42451306	utr	0.1146	MPV	22	region203	region203
chr8:61636887-61636888	accessible	0.2706	chr8:61636912-61636913	accessible	0.1017	EO_COUNT	23	region116	region116
chr13:114947535-114947536	intergenic	0.8606	chr13:114947510-114947511	intergenic	0.1242	LYMPH_COUNT	23	region157	region157
chr12:29435480-29435481	accessible	0.3851	chr12:29435505-29435506	accessible	0.1153	PLT_COUNT	23	region162	region162
chr2:46353166-46353167	intron	0.5116	chr2:46353140-46353141	intron	0.2808	HCT	24	region9	region9
chr2:46353166-46353167	intron	0.7056	chr2:46353140-46353141	intron	0.169	HGB	24	region10	region10
chr6:26224377-26224378	promoter	0.1123	chr6:26224403-26224404	promoter	0.1041	MCH	24	region58	region58
chr2:66642950-66642951	intergenic	0.376	chr2:66642924-66642925	intergenic	0.1546	MPV	24	region34	region34
chr1:87751379-87751380	intergenic	0.1071	chr1:87751406-87751407	intergenic	0.1033	EO_COUNT	25	region7	region7
chr6:43801905-43801906	intergenic	0.3631	chr6:43801878-43801879	intergenic	0.1623	RBC_COUNT	25	region41	region41
chr11:307999-308000	promoter	0.5389	chr11:307972-307973	promoter	0.1192	WBC_COUNT	25	region174	region174
chr20:39270768-39270769	intergenic	0.1533	chr20:39270795-39270796	intergenic	0.1465	WBC_COUNT	25	region235	region235
chr22:37506847-37506848	promoter	0.1256	chr22:37506876-37506877	promoter	0.1032	MCHC	27	region59	region59
chr1:158073254-158073255	intergenic	0.1462	chr1:158073283-158073284	intergenic	0.112	MONO_COUNT	27	region5	region5
chr3:124331571-124331572	intron	0.3	chr3:124331600-124331601	intron	0.1896	MPV	27	region1002	region1002
chr12:6160074-6160075	intron	0.2589	chr12:6160045-6160046	intron	0.2381	MPV	27	region147	region147
chr6:46452915-46452916	intron	0.1369	chr6:46452944-46452945	intron	0.1044	WBC_COUNT	27	region106	region106
chr16:57421050-57421051	intergenic	0.4731	chr16:57421019-57421020	intergenic	0.2592	EO_COUNT	29	region166	region166
chr22:41404939-41404940	intergenic	0.5399	chr22:41404970-41404971	intergenic	0.2215	EO_COUNT	29	region192	region192
chr19:16217484-16217485	intergenic	0.4075	chr19:16217453-16217454	intergenic	0.3717	MPV	29	region226	region226
chr11:76293726-76293727	intergenic	0.2522	chr11:76293758-76293759	intergenic	0.1384	EO_COUNT	30	region132	region132
chr1:56905524-56905525	accessible	0.2745	chr1:56905556-56905557	accessible	0.1251	NEUTRO_COUNT	30	region8	region8
chr22:37506680-37506681	promoter	0.1443	chr22:37506713-37506714	promoter	0.1242	MCHC	31	region59	region59
chr1:204254795-204254796	intron	0.2094	chr1:204254762-204254763	intron	0.1846	RBC_COUNT	31	region6	region6
chr11:61571348-61571349	intron	0.1249	chr11:61571382-61571383	intron	0.1198	EO_COUNT	32	region135	region135
chr5:154023119-154023120	intergenic	0.1876	chr5:154023153-154023154	intergenic	0.1619	MCHC	32	region9	region9
chr1:56906308-56906309	intergenic	0.133	chr1:56906274-56906275	intergenic	0.1265	NEUTRO_COUNT	32	region8	region8
chr22:41619846-41619847	accessible	0.4031	chr22:41619881-41619882	accessible	0.3968	LYMPH_COUNT	33	region1005	region1005
chr9:140117968-140117969	promoter	0.3539	chr9:140117933-140117934	promoter	0.1084	MCH	33	region119	region119
chr9:140117933-140117934	promoter	0.3945	chr9:140117968-140117969	promoter	0.294	MCV	33	region125	region125
chr22:41619846-41619847	accessible	0.5171	chr22:41619881-41619882	accessible	0.4826	WBC_COUNT	33	region239	region239
chr14:103565044-103565045	promoter	0.2225	chr14:103565080-103565081	promoter	0.1421	MPV	34	region174	region174
chr5:173205318-173205319	accessible	0.3721	chr5:173205282-173205283	accessible	0.2871	NEUTRO_COUNT	34	region43	region43
chr13:95899643-95899644	accessible	0.2543	chr13:95899607-95899608	accessible	0.2537	PLT_COUNT	34	region174	region174
chr5:173205318-173205319	accessible	0.3943	chr5:173205282-173205283	accessible	0.2828	WBC_COUNT	34	region52	region52
chr11:8828054-8828055	intron	0.1477	chr11:8828017-8828018	intron	0.1444	RETIC_COUNT	35	region92	region92
chr20:54989365-54989366	intron	0.1752	chr20:54989326-54989327	intron	0.1479	PLT_COUNT	37	region228	region228
chr7:92408370-92408371	accessible	0.9998	chr7:92408329-92408330	accessible	0.9988	EO_COUNT	39	region110	region110
chr6:33025493-33025494	accessible	0.1119	chr6:33025450-33025451	accessible	0.1052	EO_COUNT	41	region1005	region1005
chr7:21397405-21397406	accessible	0.1992	chr7:21397448-21397449	accessible	0.1932	MEAN_RETIC_VOL	41	region81	region81
chr9:135869211-135869212	accessible	0.3151	chr9:135869255-135869256	accessible	0.101	EO_COUNT	42	region120	region120
chr16:88858602-88858603	accessible	0.2082	chr16:88858646-88858647	accessible	0.1952	MEAN_RETIC_VOL	42	region129	region129
chr19:16197421-16197422	accessible	0.9222	chr19:16197377-16197378	accessible	0.4249	MPV	42	region226	region226
chr19:16197421-16197422	accessible	0.4019	chr19:16197377-16197378	accessible	0.2017	PLT_COUNT	42	region217	region217
chr1:161678377-161678378	promoter	0.1471	chr1:161678422-161678423	promoter	0.1208	HGB	43	region7	region7
chr4:15742123-15742124	intergenic	0.4045	chr4:15742168-15742169	intergenic	0.1295	LYMPH_COUNT	43	region49	region49
chr1:23840570-23840571	accessible	0.2069	chr1:23840615-23840616	accessible	0.1625	MCV	43	region11	region11
chr14:105758964-105758965	intron	0.2636	chr14:105759009-105759010	intron	0.1796	MPV	43	region177	region177
chr20:4136857-4136858	intron	0.2048	chr20:4136902-4136903	intron	0.1622	RETIC_COUNT	43	region131	region131
chr16:30482540-30482541	promoter	0.235	chr16:30482494-30482495	promoter	0.2332	LYMPH_COUNT	44	region172	region172
chr19:16441973-16441974	accessible	0.3492	chr19:16442019-16442020	accessible	0.2786	LYMPH_COUNT	44	region188	region188
chr16:88802494-88802495	promoter	0.3543	chr16:88802540-88802541	promoter	0.1471	RETIC_COUNT	44	region110	region110
chr16:30482540-30482541	promoter	0.2041	chr16:30482494-30482495	promoter	0.2024	WBC_COUNT	44	region210	region210
chr11:76293805-76293806	intergenic	0.141	chr11:76293758-76293759	intergenic	0.1384	EO_COUNT	45	region132	region132
chr2:85645545-85645546	promoter	0.1956	chr2:85645593-85645594	promoter	0.1814	MPV	46	region38	region38
chr1:36947888-36947889	promoter	0.3339	chr1:36947936-36947937	promoter	0.2187	WBC_COUNT	46	region4	region4
chr4:77202713-77202714	utr	0.1799	chr4:77202762-77202763	utr	0.1493	HGB	47	region22	region22
chr17:2729980-2729981	intron	0.2866	chr17:2730030-2730031	intron	0.2476	LYMPH_COUNT	48	region182	region182
chr22:50962259-50962260	coding	0.84	chr22:50962208-50962209	coding	0.2638	MEAN_RETIC_VOL	49	region158	region158
chr7:1286192-1286193	intergenic	0.1968	chr7:1286244-1286245	intergenic	0.1893	HCT	50	region1003	region1003
chr11:1689409-1689410	accessible	0.2334	chr11:1689461-1689462	accessible	0.2187	HCT	50	region75	region75
chr7:1286244-1286245	intergenic	0.2218	chr7:1286192-1286193	intergenic	0.1114	HGB	50	region69	region69
chr17:18015061-18015062	accessible	0.1413	chr17:18015113-18015114	accessible	0.1257	LYMPH_COUNT	50	region184	region184
chr14:101170436-101170437	intergenic	0.2044	chr14:101170488-101170489	intergenic	0.1199	MPV	50	region182	region182
chr2:113867340-113867341	intergenic	0.2359	chr2:113867288-113867289	intergenic	0.1231	NEUTRO_COUNT	50	region16	region16
chr17:18015061-18015062	accessible	0.3163	chr17:18015113-18015114	accessible	0.2072	NEUTRO_COUNT	50	region168	region168
chr7:1286192-1286193	intergenic	0.3095	chr7:1286244-1286245	intergenic	0.15	RBC_COUNT	50	region58	region58
chr17:18015061-18015062	accessible	0.4217	chr17:18015113-18015114	accessible	0.2644	WBC_COUNT	50	region221	region221
chr10:44880207-44880208	promoter	0.1401	chr10:44880260-44880261	promoter	0.1288	MONO_COUNT	51	region138	region138
chr4:7040389-7040390	intron	0.1821	chr4:7040336-7040337	intron	0.1798	MONO_COUNT	51	region37	region37
chr3:12268191-12268192	intergenic	0.1626	chr3:12268244-12268245	intergenic	0.1093	PLT_COUNT	51	region39	region39
chr11:110629775-110629776	intergenic	0.257	chr11:110629828-110629829	intergenic	0.1233	WBC_COUNT	51	region179	region179
chr3:195834303-195834304	accessible	0.1416	chr3:195834357-195834358	accessible	0.1274	MCH	52	region26	region26
chr3:195834303-195834304	accessible	0.4799	chr3:195834357-195834358	accessible	0.4433	MCV	52	region30	region30
chr16:87886490-87886491	accessible	0.4937	chr16:87886545-87886546	accessible	0.2586	MCH	53	region161	region161
chr16:87886490-87886491	accessible	0.6157	chr16:87886545-87886546	accessible	0.1381	MCV	53	region168	region168
chr16:87886490-87886491	accessible	0.4381	chr16:87886545-87886546	accessible	0.2388	MEAN_RETIC_VOL	53	region131	region131
chr13:108915607-108915608	intergenic	0.1198	chr13:108915663-108915664	intergenic	0.1187	MONO_COUNT	54	region159	region159
chr22:24642009-24642010	promoter	0.146	chr22:24641953-24641954	promoter	0.1155	MONO_COUNT	54	region204	region204
chr11:10669228-10669229	accessible	0.2933	chr11:10669172-10669173	accessible	0.1567	MPV	54	region143	region143
chr18:19673769-19673770	intergenic	0.1057	chr18:19673713-19673714	intergenic	0.1024	NEUTRO_COUNT	54	region171	region171
chr1:161678311-161678312	promoter	0.1082	chr1:161678254-161678255	promoter	0.1055	HCT	55	region6	region6
chr1:161678311-161678312	promoter	0.1652	chr1:161678254-161678255	promoter	0.1633	HGB	55	region7	region7
chr19:33754548-33754549	accessible	1	chr19:33754491-33754492	accessible	0.847	MEAN_RETIC_VOL	55	region146	region146
chr5:173205282-173205283	accessible	0.2871	chr5:173205225-173205226	accessible	0.1974	NEUTRO_COUNT	55	region43	region43
chr5:95162475-95162476	intergenic	0.446	chr5:95162418-95162419	intergenic	0.1507	RETIC_COUNT	55	region47	region47
chr5:173205282-173205283	accessible	0.2828	chr5:173205225-173205226	accessible	0.1822	WBC_COUNT	55	region52	region52
chr6:33028820-33028821	intergenic	0.1474	chr6:33028878-33028879	intergenic	0.1267	EO_COUNT	56	region1005	region1005
chr1:12097510-12097511	intergenic	0.5476	chr1:12097568-12097569	intergenic	0.2123	EO_COUNT	56	region8	region8
chr7:16700495-16700496	promoter	0.2192	chr7:16700553-16700554	promoter	0.149	MPV	56	region113	region113
chr22:32871383-32871384	coding	0.2553	chr22:32871442-32871443	promoter	0.1829	MEAN_RETIC_VOL	57	region159	region159
chr18:67527701-67527702	intergenic	0.2102	chr18:67527760-67527761	intergenic	0.1141	MPV	57	region218	region218
chr6:29836913-29836914	intergenic	0.1648	chr6:29836853-29836854	intergenic	0.1406	MONO_COUNT	58	region71	region71
chr6:108053906-108053907	promoter	0.2279	chr6:108053969-108053970	promoter	0.1974	LYMPH_COUNT	61	region100	region100
chr7:1286128-1286129	intergenic	0.2696	chr7:1286192-1286193	intergenic	0.1114	HGB	62	region69	region69
chr2:136892101-136892102	intergenic	0.1522	chr2:136892165-136892166	intergenic	0.1315	MONO_COUNT	62	region17	region17
chr17:72702978-72702979	promoter	0.2916	chr17:72702914-72702915	promoter	0.2302	MONO_COUNT	62	region183	region183
chr4:6891519-6891520	accessible	0.4602	chr4:6891455-6891456	accessible	0.1989	MPV	62	region55	region55
chr4:6891519-6891520	accessible	0.2904	chr4:6891455-6891456	accessible	0.1377	PLT_COUNT	62	region56	region56
chr16:30141913-30141914	intergenic	0.2282	chr16:30141847-30141848	intergenic	0.1608	MCV	64	region169	region169
chr14:55427036-55427037	intron	0.2744	chr14:55427103-55427104	intron	0.1636	WBC_COUNT	65	region198	region198
chr22:50180497-50180498	intron	0.107	chr22:50180565-50180566	intron	0.1041	MPV	66	region242	region242
chr4:55346041-55346042	intergenic	0.1274	chr4:55345973-55345974	intergenic	0.1179	RBC_COUNT	66	region27	region27
chr16:85706564-85706565	coding	0.13	chr16:85706633-85706634	coding	0.119	MPV	67	region199	region199
chr2:160965335-160965336	intron	0.126	chr2:160965266-160965267	intron	0.1168	NEUTRO_COUNT	67	region20	region20
chr12:57848639-57848640	promoter	0.6122	chr12:57848708-57848709	promoter	0.1018	PLT_COUNT	67	region165	region165
chr1:118173519-118173520	accessible	0.1163	chr1:118173450-118173451	accessible	0.1102	RETIC_COUNT	67	region6	region6
chr7:151413124-151413125	intron	0.144	chr7:151413194-151413195	intron	0.1144	RBC_COUNT	68	region55	region55
chr16:84581822-84581823	intergenic	0.2266	chr16:84581893-84581894	intergenic	0.1841	LYMPH_COUNT	69	region173	region173
chr16:84581893-84581894	intergenic	0.2452	chr16:84581822-84581823	intergenic	0.2205	NEUTRO_COUNT	69	region158	region158
chr16:84581822-84581823	intergenic	0.2258	chr16:84581893-84581894	intergenic	0.1829	WBC_COUNT	69	region208	region208
chr6:43801582-43801583	intergenic	0.1338	chr6:43801654-43801655	intergenic	0.1213	RBC_COUNT	70	region41	region41
chr17:1958536-1958537	promoter	0.1527	chr17:1958609-1958610	promoter	0.1061	MCV	71	region180	region180
chr13:95899643-95899644	accessible	0.2543	chr13:95899716-95899717	accessible	0.1116	PLT_COUNT	71	region174	region174
chr17:1958536-1958537	promoter	0.4116	chr17:1958609-1958610	promoter	0.2743	PLT_COUNT	71	region207	region207
chr19:44281824-44281825	accessible	0.1358	chr19:44281898-44281899	accessible	0.1178	MPV	72	region225	region225
chr16:85938755-85938756	intron	0.2375	chr16:85938681-85938682	intron	0.2285	NEUTRO_COUNT	72	region158	region158
chr13:114016802-114016803	promoter	0.1376	chr13:114016728-114016729	promoter	0.116	PLT_COUNT	72	region175	region175
chr20:1930798-1930799	intergenic	0.2429	chr20:1930873-1930874	intergenic	0.1299	LYMPH_COUNT	73	region194	region194
chr20:1930873-1930874	intergenic	0.1865	chr20:1930798-1930799	intergenic	0.1158	PLT_COUNT	73	region226	region226
chr14:55428641-55428642	intron	0.1965	chr14:55428716-55428717	intron	0.1651	WBC_COUNT	73	region198	region198
chr4:77394095-77394096	intron	0.1521	chr4:77394018-77394019	intron	0.1277	HCT	75	region21	region21
chr1:198994619-198994620	intergenic	0.6079	chr1:198994696-198994697	intergenic	0.1203	MCH	75	region1	region1
chr14:65280824-65280825	intron	0.1198	chr14:65280747-65280748	intron	0.1153	MCHC	75	region48	region48
chr1:198994619-198994620	intergenic	0.5281	chr1:198994696-198994697	intergenic	0.2102	MCV	75	region1	region1
chr1:198994619-198994620	intergenic	0.5146	chr1:198994696-198994697	intergenic	0.2144	RBC_COUNT	75	region2	region2
chr4:77394095-77394096	intron	0.1353	chr4:77394018-77394019	intron	0.1133	RBC_COUNT	75	region28	region28
chr11:30749090-30749091	intergenic	0.2611	chr11:30749169-30749170	intergenic	0.1077	HGB	77	region84	region84
