trait	celltype	pvalue
HGB	CD8	0.0051685667420902
HGB	GMP-A	0.0119602866332913
HGB	GMP-B	0.0108401812747711
HGB	Ery	1.55593899439207e-06
LYMPH_COUNT	Mega	5.35727358454208e-07
LYMPH_COUNT	B	2.07260590586849e-08
LYMPH_COUNT	GMP-C	1.92974400000781e-06
LYMPH_COUNT	NK	1.13590090554352e-11
LYMPH_COUNT	Mono	4.8081151725824e-07
LYMPH_COUNT	HSC	9.0885767660835e-06
LYMPH_COUNT	MPP	4.26392685306666e-06
LYMPH_COUNT	CMP	0.000172223010302772
LYMPH_COUNT	pDC	5.16870824288982e-07
LYMPH_COUNT	mDC	1.15864914540016e-08
LYMPH_COUNT	CLP	4.71300614725707e-08
LYMPH_COUNT	CD4	6.86350463147334e-10
LYMPH_COUNT	LMPP	1.18285453191511e-05
LYMPH_COUNT	MEP	0.000107862834488678
LYMPH_COUNT	CD8	2.06296773846689e-11
LYMPH_COUNT	GMP-A	6.45132736847818e-06
LYMPH_COUNT	GMP-B	2.61836636836456e-08
LYMPH_COUNT	Ery	0.00160759080861955
MCH	Mega	6.82139697847324e-15
MCH	B	1.62218217291169e-09
MCH	GMP-C	1.34877869489851e-09
MCH	NK	5.71823515020097e-11
MCH	Mono	9.28903766044973e-11
MCH	HSC	2.69789583160305e-13
MCH	MPP	1.35036936795146e-13
MCH	CMP	3.76205228500187e-14
MCH	pDC	3.72588473555163e-10
MCH	mDC	4.94626881895458e-09
MCH	CLP	6.43770713146724e-08
MCH	CD4	2.10565984067853e-07
MCH	LMPP	2.62036378614897e-11
MCH	MEP	2.27397326678413e-19
MCH	CD8	1.44432282106037e-07
MCH	GMP-A	5.50483470674732e-14
MCH	GMP-B	1.01003994137e-11
MCH	Ery	1.97904537944313e-29
MCHC	Mega	7.87402344194341e-05
MCHC	B	0.0127925487136928
MCHC	GMP-C	0.0350494444782194
MCHC	NK	0.17627101185444
MCHC	Mono	0.486774177432628
MCHC	HSC	0.18813471759597
MCHC	MPP	0.0578550283956768
MCHC	CMP	0.013866852185296
MCHC	pDC	0.309809750082286
MCHC	mDC	0.0282928671129749
MCHC	CLP	0.337338130312997
MCHC	CD4	0.341355037173944
MCHC	LMPP	0.33529949824208
MCHC	MEP	0.00332316610511085
MCHC	CD8	0.349666795399026
MCHC	GMP-A	0.332390736948501
MCHC	GMP-B	0.114222509736165
MCHC	Ery	9.50525235265561e-07
MCV	Mega	4.65261797003028e-16
MCV	B	4.18406042863673e-11
MCV	GMP-C	1.09446378828405e-09
MCV	NK	8.96699439536314e-13
MCV	Mono	7.61792813351237e-10
MCV	HSC	1.13011811630937e-14
MCV	MPP	7.25508321263741e-16
MCV	CMP	3.33023999999488e-17
MCV	pDC	1.09922385932536e-09
MCV	mDC	2.26228070821748e-08
MCV	CLP	4.8001026826776e-10
MCV	CD4	3.91915545521093e-10
MCV	LMPP	8.57604066691792e-12
MCV	MEP	5.93858511666921e-20
MCV	CD8	7.32648014727258e-11
MCV	GMP-A	1.92534593128331e-15
MCV	GMP-B	6.72261515656645e-15
MCV	Ery	1.07043583606207e-31
MEAN_RETIC_VOL	Mega	2.72550593756543e-17
MEAN_RETIC_VOL	B	6.41839072086018e-10
MEAN_RETIC_VOL	GMP-C	3.72780608551241e-09
MEAN_RETIC_VOL	NK	1.54780998314079e-12
MEAN_RETIC_VOL	Mono	8.7177250931513e-09
MEAN_RETIC_VOL	HSC	2.5560746830844e-12
MEAN_RETIC_VOL	MPP	4.0181920704756e-15
MEAN_RETIC_VOL	CMP	6.87098911954644e-17
MEAN_RETIC_VOL	pDC	4.30799628626951e-10
MEAN_RETIC_VOL	mDC	9.56916973738468e-07
MEAN_RETIC_VOL	CLP	5.94360403892158e-09
MEAN_RETIC_VOL	CD4	2.44257517294738e-11
MEAN_RETIC_VOL	LMPP	1.78988817199014e-10
MEAN_RETIC_VOL	MEP	3.27587496501099e-21
MEAN_RETIC_VOL	CD8	6.73176528709048e-08
MEAN_RETIC_VOL	GMP-A	2.53187702872721e-13
MEAN_RETIC_VOL	GMP-B	9.06536083298411e-13
MEAN_RETIC_VOL	Ery	1.36748711600211e-33
MONO_COUNT	Mega	6.19924055832833e-06
MONO_COUNT	B	4.14247937580888e-06
MONO_COUNT	GMP-C	2.59403166699344e-11
MONO_COUNT	NK	1.18386218672647e-08
MONO_COUNT	Mono	1.06041418449747e-11
MONO_COUNT	HSC	5.29316988640745e-09
MONO_COUNT	MPP	5.41854749134322e-10
MONO_COUNT	CMP	5.49775076344463e-07
MONO_COUNT	pDC	8.09299739031548e-06
MONO_COUNT	mDC	8.65261259040352e-12
MONO_COUNT	CLP	0.000162535637636401
MONO_COUNT	CD4	6.43577833656724e-07
MONO_COUNT	LMPP	6.56038393483104e-08
MONO_COUNT	MEP	3.05270391592406e-07
MONO_COUNT	CD8	1.44009968340767e-07
MONO_COUNT	GMP-A	6.73644410278924e-12
MONO_COUNT	GMP-B	1.40139194509392e-11
MONO_COUNT	Ery	0.000579733134955082
MPV	Mega	1.20890339889456e-48
MPV	B	9.38068139745156e-10
MPV	GMP-C	1.01608050666295e-18
MPV	NK	2.4659718056513e-13
MPV	Mono	3.19217162968582e-19
MPV	HSC	8.34158536573223e-21
MPV	MPP	2.45612829997117e-25
MPV	CMP	3.96650903700089e-23
MPV	pDC	1.52292630662041e-14
MPV	mDC	8.13095318879402e-21
MPV	CLP	2.48762200100556e-09
MPV	CD4	5.2544079921155e-11
MPV	LMPP	2.48769215418196e-19
MPV	MEP	2.10557223138787e-26
MPV	CD8	4.03565237306029e-11
MPV	GMP-A	1.99335917933162e-23
MPV	GMP-B	4.59591045952334e-22
MPV	Ery	8.06444122572784e-21
NEUTRO_COUNT	Mega	0.000723018558359788
NEUTRO_COUNT	B	4.0882277000828e-05
NEUTRO_COUNT	GMP-C	3.52844861617055e-07
NEUTRO_COUNT	NK	2.39737151423429e-07
NEUTRO_COUNT	Mono	2.3203858112043e-07
NEUTRO_COUNT	HSC	1.9362984080104e-06
NEUTRO_COUNT	MPP	6.17296381044876e-06
NEUTRO_COUNT	CMP	1.16060244787724e-05
NEUTRO_COUNT	pDC	4.00121278653597e-06
NEUTRO_COUNT	mDC	1.41683966782825e-06
NEUTRO_COUNT	CLP	0.000384582353076491
NEUTRO_COUNT	CD4	0.0037012329770631
NEUTRO_COUNT	LMPP	2.72941462485577e-05
NEUTRO_COUNT	MEP	2.63285737206621e-06
NEUTRO_COUNT	CD8	0.000526324731976906
NEUTRO_COUNT	GMP-A	1.23099302698422e-08
NEUTRO_COUNT	GMP-B	5.51567930041642e-07
NEUTRO_COUNT	Ery	0.00890670239001277
PLT_COUNT	Mega	1.04104833581094e-27
PLT_COUNT	B	5.35918415647253e-08
PLT_COUNT	GMP-C	5.57797985811086e-13
PLT_COUNT	NK	6.46708919244072e-13
PLT_COUNT	Mono	1.63733449277122e-11
PLT_COUNT	HSC	2.70511121591694e-15
PLT_COUNT	MPP	1.91413772938084e-15
PLT_COUNT	CMP	1.21983384591086e-13
PLT_COUNT	pDC	1.79784631442091e-11
PLT_COUNT	mDC	1.56578435836004e-14
PLT_COUNT	CLP	8.27145585340121e-06
PLT_COUNT	CD4	9.24681220172338e-09
PLT_COUNT	LMPP	4.06332520898369e-12
PLT_COUNT	MEP	1.7944819454142e-16
PLT_COUNT	CD8	3.09992441646859e-09
PLT_COUNT	GMP-A	3.25321553979622e-14
PLT_COUNT	GMP-B	1.25475089473044e-13
PLT_COUNT	Ery	1.42348904790286e-15
RBC_COUNT	Mega	1.12214979555343e-14
RBC_COUNT	B	1.31701990392959e-08
RBC_COUNT	GMP-C	9.93021422059422e-10
RBC_COUNT	NK	2.68513638857487e-10
RBC_COUNT	Mono	1.13441259012613e-09
RBC_COUNT	HSC	9.98384399973127e-14
RBC_COUNT	MPP	1.10389317945763e-13
RBC_COUNT	CMP	3.18157221642091e-15
RBC_COUNT	pDC	1.95849985958318e-08
RBC_COUNT	mDC	3.41777470534499e-08
RBC_COUNT	CLP	1.30306251161418e-05
RBC_COUNT	CD4	1.97765911750312e-09
RBC_COUNT	LMPP	1.52159390270614e-08
RBC_COUNT	MEP	1.42140739587685e-19
RBC_COUNT	CD8	1.71808738582933e-08
RBC_COUNT	GMP-A	1.844301844085e-14
RBC_COUNT	GMP-B	2.17596949933016e-11
RBC_COUNT	Ery	2.04813179992897e-16
RETIC_COUNT	Mega	2.8045493063533e-10
RETIC_COUNT	B	0.000478654884503692
RETIC_COUNT	GMP-C	1.1676776211331e-08
RETIC_COUNT	NK	2.02556057600465e-05
RETIC_COUNT	Mono	0.000451723605935314
RETIC_COUNT	HSC	3.66578314373354e-06
RETIC_COUNT	MPP	8.08016640097753e-07
RETIC_COUNT	CMP	8.04811940249354e-09
RETIC_COUNT	pDC	8.68990419996347e-07
RETIC_COUNT	mDC	2.26017549382225e-06
RETIC_COUNT	CLP	0.000450154408395045
RETIC_COUNT	CD4	0.00480782437082678
RETIC_COUNT	LMPP	0.000463084480404743
RETIC_COUNT	MEP	6.11041783153787e-08
RETIC_COUNT	CD8	0.000680023174993779
RETIC_COUNT	GMP-A	1.50722105058893e-05
RETIC_COUNT	GMP-B	1.2139697552232e-06
RETIC_COUNT	Ery	6.55029241358633e-15
WBC_COUNT	Mega	0.0013387373029194
WBC_COUNT	B	0.000445513712810335
WBC_COUNT	GMP-C	1.20799352533674e-06
WBC_COUNT	NK	3.20132276043108e-06
WBC_COUNT	Mono	3.98081383166685e-06
WBC_COUNT	HSC	1.8632689740123e-06
WBC_COUNT	MPP	0.000120172646696861
WBC_COUNT	CMP	3.71626593353219e-07
WBC_COUNT	pDC	4.00745496465492e-05
WBC_COUNT	mDC	3.36765602472466e-06
WBC_COUNT	CLP	0.00443756911985924
WBC_COUNT	CD4	0.00257329435267588
WBC_COUNT	LMPP	0.00104734332946167
WBC_COUNT	MEP	0.00044550399556381
WBC_COUNT	CD8	6.87750790448925e-05
WBC_COUNT	GMP-A	2.42418912418679e-06
WBC_COUNT	GMP-B	2.40053505219689e-06
WBC_COUNT	Ery	0.00824519451804562
