Celltype	Trait	Z	pvalue
mDC	Crohns_disease	0.813222029921508	0.208045385477457
MPP	Chronic_kidney_disease	0.808925784242708	0.20927891834902
HSC	Migraine	0.796210418135659	0.212954871583486
HSC	Progressive_supranuclear_palsy	0.794005599004904	0.213596085918674
GMP-C	Renal_function_related_traits_BUN	0.783655502270021	0.216621139571923
HSC	Restless_legs_syndrome	0.779973928038602	0.217703110773129
NK	Ulcerative_colitis	0.777531551431936	0.218422613500898
CMP	Atopic_dermatitis	0.774369853103757	0.219356053011818
mDC	Chronic_kidney_disease	0.772295480877927	0.219969720685123
Mono	Alzheimers_combined	0.772120335126752	0.22002157962982
mDC	Psoriasis	0.767322654734542	0.221444851045204
pDC	Systemic_sclerosis	0.763730824951365	0.222513833705176
CMP	Type_2_diabetes	0.724283915192631	0.234445724901656
Mono	Bone_mineral_density	0.723463865151549	0.234697473285811
MPP	Allergy	0.722478332503726	0.235000221080104
pDC	Kawasaki_disease	0.719873732902802	0.235801371031178
pDC	Systemic_lupus_erythematosus	0.6946904725731	0.243624650027127
B	Systemic_lupus_erythematosus	0.692130359586	0.244427733768804
HSC	Primary_sclerosing_cholangitis	0.684260742684127	0.246905265842509
GMP-A	HDL_cholesterol	0.683602937519027	0.247112964623557
Mono	Vitiligo	0.677251479146929	0.249123205236114
B	Primary_biliary_cirrhosis	0.676674808467919	0.24930615164583
GMP-B	Alzheimers_combined	0.665994793748894	0.252707214069178
pDC	Alopecia_areata	0.644589684480554	0.259596560747608
LMPP	Progressive_supranuclear_palsy	0.626074497713619	0.265633039278585
mDC	Vitiligo	0.625270156991539	0.265896881553967
Mono	Triglycerides	0.610295981625715	0.270832879174312
Ery	LDL_cholesterol	0.607475152122454	0.27176781389758
HSC	Allergy	0.605250326773426	0.272506340517452
GMP-B	Migraine	0.60257079236759	0.273397127768968
CLP	Progressive_supranuclear_palsy	0.582397432398835	0.280149505311071
Mono	Ankylosing_spondylitis	0.580117305209691	0.280917757280144
MEP	Alopecia_areata	0.574248920754994	0.282899684495187
Mono	Alopecia_areata	0.571721918669501	0.283755191323658
Ery	Renal_function_related_traits_BUN	0.561028374601787	0.287389097053207
CD8	Psoriasis	0.548774708822658	0.291580034385409
MPP	Primary_sclerosing_cholangitis	0.543848284443905	0.293272939538268
LMPP	LDL_cholesterol	0.543663740947501	0.293336444075365
CD4	Vitiligo	0.543416595321139	0.293421501043991
B	Crohns_disease	0.541371652061508	0.294125721160861
Mono	Kawasaki_disease	0.535415451877689	0.296181303806035
CD8	Liver_enzyme_levels_gamma_glutamyl_transferase	0.533803573861889	0.296738720448256
GMP-A	Juvenile_idiopathic_arthritis	0.510824495382358	0.304736977607435
NK	Red_blood_cell_traits	0.507938251760754	0.305748323883276
mDC	Allergy	0.507888989140302	0.305765598512934
HSC	Platelet_counts	0.487483896292282	0.312957726097402
CD8	Systemic_lupus_erythematosus	0.482452425624995	0.314742293299551
Ery	C_reactive_protein	0.477094064026697	0.316647570707613
GMP-B	Asthma	0.463666104023391	0.321443492858595
B	Alopecia_areata	0.463067893871031	0.321657851195204
GMP-C	HDL_cholesterol	0.457705924379458	0.323581865562767
GMP-A	Asthma	0.454743770467337	0.324646793676791
Mono	Systemic_sclerosis	0.45089219742166	0.32603362366729
CMP	Fasting_glucose_related_traits	0.445569588958615	0.327954090987794
Mega	Asthma	0.437612160196259	0.330833727342755
HSC	Chronic_kidney_disease	0.430862677362221	0.333284111334019
NK	Type_2_diabetes	0.416845325844817	0.338395773352921
CLP	Systemic_lupus_erythematosus	0.414806655691216	0.339141723435883
Mega	Renal_function_related_traits_BUN	0.40458522520732	0.342891210345427
Mega	Alopecia_areata	0.403947110526254	0.343125806114975
GMP-A	Kawasaki_disease	0.398893623807446	0.344985793793046
CD4	LDL_cholesterol	0.398709219479375	0.345053736918213
CMP	Progressive_supranuclear_palsy	0.389847826503886	0.348324537887666
Mono	Primary_sclerosing_cholangitis	0.387640277357121	0.349141129021363
CD4	Alopecia_areata	0.366751680327865	0.35690212662548
GMP-A	Rheumatoid_arthritis	0.362099600169613	0.358638801210509
NK	Celiac_disease	0.351194848563573	0.362721087278894
CLP	Bone_mineral_density	0.344756477147676	0.365138727719982
Mega	Allergy	0.342657829033347	0.365927945783872
mDC	Bone_mineral_density	0.325473186533304	0.372411486452956
B	Liver_enzyme_levels_gamma_glutamyl_transferase	0.319473268146069	0.374683829545837
GMP-C	Primary_biliary_cirrhosis	0.316811492361062	0.375693321716227
GMP-A	Psoriasis	0.314134641313941	0.376709390138116
GMP-B	Restless_legs_syndrome	0.306336225770474	0.379674329978157
Mega	Alzheimers_combined	0.301840475506073	0.381386837022944
GMP-B	HDL_cholesterol	0.298278422887449	0.382745335605051
NK	Systemic_lupus_erythematosus	0.293359978633871	0.384623506395059
GMP-C	Behcets_disease	0.291847010806598	0.385201799837883
Mega	Creatinine_levels	0.288812851992463	0.38636229828123
GMP-B	Behcets_disease	0.287752589186431	0.386768065664157
CD4	Systemic_lupus_erythematosus	0.282576268411628	0.388750837125991
pDC	Restless_legs_syndrome	0.278631609691295	0.390263775987684
pDC	Atopic_dermatitis	0.276160852058644	0.391212261973355
MEP	Systemic_lupus_erythematosus	0.270469512374518	0.393399534376044
CD4	Juvenile_idiopathic_arthritis	0.26468951134011	0.395624329068952
GMP-A	Behcets_disease	0.25539525990042	0.399208915742141
MPP	Psoriasis	0.253877007345983	0.399795289215995
CLP	Urate_levels	0.248230985098766	0.401977846898514
MPP	Rheumatoid_arthritis	0.236506289006884	0.406519913884207
GMP-B	Celiac_disease	0.236184978170441	0.406644567750403
pDC	Triglycerides	0.234463541649323	0.407312566969446
Mono	Rheumatoid_arthritis	0.232359515357974	0.408129395251135
CD4	Behcets_disease	0.221094028932093	0.41250960972269
Mega	LDL_cholesterol	0.221037568886548	0.412531590309641
MPP	Restless_legs_syndrome	0.217885842542369	0.413759029084083
B	Bone_mineral_density	0.215580276570312	0.414657465657839
CD4	Fasting_glucose_related_traits	0.192892992094424	0.423521386733717
mDC	Kawasaki_disease	0.191535550678053	0.424053015333664
GMP-C	Migraine	0.188965078792092	0.425060093370987
GMP-A	LDL_cholesterol	0.176526694271033	0.429940089484278
pDC	Urate_levels	0.176507798929831	0.429947511106726
Mono	Allergy	0.17608813043694	0.430112352881075
GMP-B	Crohns_disease	0.176068125315828	0.430120211005928
GMP-C	Juvenile_idiopathic_arthritis	0.175707307159001	0.430261947169718
CMP	Migraine	0.173504798658073	0.431127328151602
pDC	Asthma	0.171064483678367	0.43208653105177
CD8	LDL_cholesterol	0.163037388119589	0.435244498515948
pDC	Type_1_diabetes	0.156367519660864	0.437871668885711
Mono	Liver_enzyme_levels_gamma_glutamyl_transferase	0.151488263453734	0.43979528420088
HSC	Rheumatoid_arthritis	0.148620739825319	0.440926453375046
CLP	Restless_legs_syndrome	0.145452396939957	0.442176848852779
MPP	Creatinine_levels	0.144859576351441	0.442410871554505
CLP	Creatinine_levels	0.141037017303294	0.443920349513972
pDC	Renal_function_related_traits_BUN	0.133401359586706	0.446937985112318
HSC	Creatinine_levels	0.132074807147894	0.447462561155668
GMP-B	Psoriasis	0.126637942898708	0.449613482300343
MPP	LDL_cholesterol	0.121167818425974	0.451779056723981
Mono	Psoriasis	0.117326627237064	0.453300612631409
GMP-C	Alzheimers_combined	0.116349484922331	0.453687784294417
LMPP	Renal_function_related_traits_BUN	0.0953775522061597	0.462007472763779
GMP-B	LDL_cholesterol	0.0943242361064089	0.462425799056123
Mono	Renal_function_related_traits_BUN	0.091418709267087	0.463579948075625
Mega	Red_blood_cell_traits	0.0891613428213558	0.464476843467336
B	Fasting_glucose_related_traits	0.0856520409197333	0.465871513877107
pDC	Migraine	0.0850294354823559	0.466118994656821
LMPP	Migraine	0.0756172359134581	0.469861811724566
pDC	C_reactive_protein	0.0709214731655837	0.471730126645627
CLP	Renal_function_related_traits_BUN	0.0694927426410262	0.472298704611584
Ery	Systemic_sclerosis	0.0673935443015295	0.473134204203692
CD4	Systemic_sclerosis	0.0663981448064752	0.473530423587684
MEP	Creatinine_levels	0.0651274443668154	0.474036264684442
Ery	Alzheimers_combined	0.0647131035174839	0.474201214797214
pDC	Juvenile_idiopathic_arthritis	0.0636039044966657	0.474642811350504
CD8	Fasting_glucose_related_traits	0.0509215863572302	0.479694002198297
CD8	Migraine	0.0469262827837817	0.481285990266071
pDC	LDL_cholesterol	0.0404656745510941	0.483860936177761
MEP	Renal_function_related_traits_BUN	0.0395117608893038	0.484241188503041
mDC	Liver_enzyme_levels_gamma_glutamyl_transferase	0.0384164422210357	0.484677825831021
HSC	Primary_biliary_cirrhosis	0.0247751668978881	0.490117149461033
NK	Juvenile_idiopathic_arthritis	0.0229832326307997	0.490831823919764
Mono	Type_2_diabetes	0.0196992344913292	0.49214165072478
mDC	Primary_sclerosing_cholangitis	0.0166059598424235	0.493375484974003
pDC	Behcets_disease	0.00955876907496383	0.496186660938332
GMP-A	Restless_legs_syndrome	0.00638618157653914	0.497452299476089
GMP-C	Kawasaki_disease	0.00153086596157094	0.499389273080847
CD4	Creatinine_levels	0.000707678473351603	0.499717677159615
GMP-B	Primary_biliary_cirrhosis	-0.00347063369661954	0.501384579741754
Mono	Creatinine_levels	-0.00429052410346204	0.501711666218389
GMP-C	LDL_cholesterol	-0.00543965598066346	0.502170098059371
GMP-C	Allergy	-0.0141769740163104	0.505655604892498
mDC	Alopecia_areata	-0.0164053169837836	0.50654448100938
MEP	Migraine	-0.017647942980928	0.507040145173234
MEP	Restless_legs_syndrome	-0.0343810764551835	0.513713363324385
CMP	Creatinine_levels	-0.0368761246740741	0.514708111726867
CD8	Juvenile_idiopathic_arthritis	-0.040421003367545	0.516121257167213
Mono	LDL_cholesterol	-0.042902227711074	0.517110263534649
CLP	Fasting_glucose_related_traits	-0.042939916916873	0.517125285509102
Mega	Restless_legs_syndrome	-0.0433777655976986	0.517299799251083
GMP-A	Progressive_supranuclear_palsy	-0.0467660531895248	0.518650157476646
GMP-C	Systemic_lupus_erythematosus	-0.0491438667739166	0.519597677505227
Ery	Asthma	-0.0516344445427686	0.520590013419988
pDC	Chronic_kidney_disease	-0.0652443660766442	0.526010281332233
CD4	Chronic_kidney_disease	-0.0786990046796516	0.531363981411571
CMP	Renal_function_related_traits_BUN	-0.0820421540634176	0.53269340383668
Mega	Progressive_supranuclear_palsy	-0.0825781193491615	0.532906499964703
Mega	Migraine	-0.0915175166224662	0.536459305804958
GMP-B	Juvenile_idiopathic_arthritis	-0.0921728511834645	0.536719646090419
pDC	Ulcerative_colitis	-0.0968515208043103	0.538577845736345
B	Creatinine_levels	-0.101777330943732	0.540533290258399
Mega	Bone_mineral_density	-0.108656835521734	0.543262660330317
MPP	Alzheimers_combined	-0.109237666160873	0.543493007111255
CMP	Chronic_kidney_disease	-0.110432547156485	0.543966828961101
pDC	Creatinine_levels	-0.117409996759144	0.546732418701929
GMP-B	Allergy	-0.119896791094167	0.547717546762229
CD8	Renal_function_related_traits_BUN	-0.123141748269691	0.549002573751033
GMP-C	Creatinine_levels	-0.124369203453645	0.549488521956478
pDC	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.129007691011265	0.551324218429936
CD8	Type_2_diabetes	-0.130027310302217	0.551727590192778
GMP-A	Urate_levels	-0.130607692635674	0.551957171491458
GMP-C	Asthma	-0.131987665398678	0.552502976011403
LMPP	Alopecia_areata	-0.139356136530009	0.555415633974368
pDC	Bone_mineral_density	-0.139868735047314	0.555618147881498
Mega	Behcets_disease	-0.140676900776228	0.555937402945166
LMPP	Behcets_disease	-0.14363483193176	0.557105583029674
GMP-A	Type_2_diabetes	-0.145234466017792	0.557737122766509
CD4	Bone_mineral_density	-0.146749252054718	0.558335029058904
Mono	Restless_legs_syndrome	-0.149054772488445	0.559244793274493
GMP-A	Allergy	-0.150797400807029	0.559932231662314
GMP-C	Crohns_disease	-0.150995205125776	0.560010250856127
GMP-C	Psoriasis	-0.151355129522275	0.560152208466648
CLP	Primary_biliary_cirrhosis	-0.152597375926747	0.560642102764614
GMP-A	Vitiligo	-0.154844718998236	0.561528132154455
Mega	Systemic_lupus_erythematosus	-0.16977316057217	0.567405732379641
B	Ankylosing_spondylitis	-0.171444723455996	0.568062954454307
mDC	Restless_legs_syndrome	-0.181699855385288	0.572090860265457
CMP	Triglycerides	-0.18982669638906	0.575277532227611
Ery	Platelet_counts	-0.190120279267834	0.575392560331544
Ery	Systemic_lupus_erythematosus	-0.194981947271545	0.577296459814751
LMPP	Allergy	-0.198729756379338	0.578762926984458
CLP	Atopic_dermatitis	-0.200116216727824	0.579305154613183
NK	Creatinine_levels	-0.200853203593104	0.579593319965603
HSC	Systemic_lupus_erythematosus	-0.201424920231706	0.579816834507016
mDC	Systemic_lupus_erythematosus	-0.204912760728996	0.581179857426422
Mega	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.214693903131571	0.584997011829036
LMPP	Type_1_diabetes	-0.214980947596277	0.585108913554724
NK	LDL_cholesterol	-0.219150498702451	0.586733592776122
B	Restless_legs_syndrome	-0.220914489823847	0.587420492553749
CD8	Progressive_supranuclear_palsy	-0.223584295528939	0.588459607656614
CD4	Progressive_supranuclear_palsy	-0.235738614556077	0.593182247944814
mDC	Renal_function_related_traits_BUN	-0.236972725828134	0.593661025347915
LMPP	Ankylosing_spondylitis	-0.247193181025229	0.597620638829783
GMP-C	Restless_legs_syndrome	-0.248343319497568	0.598065607772009
NK	Type_1_diabetes	-0.248901089126025	0.598281353597144
GMP-C	Bone_mineral_density	-0.250429365772069	0.598872338822124
CLP	Psoriasis	-0.251247585839468	0.599188652003044
CD8	Chronic_kidney_disease	-0.25302604000946	0.599875954615606
Mega	Ankylosing_spondylitis	-0.255678619276748	0.600900497056546
CLP	Migraine	-0.260856993341896	0.602898604419674
pDC	Autoimmune_thyroiditis	-0.269950607800255	0.606400873736359
Ery	Juvenile_idiopathic_arthritis	-0.273063425871422	0.607597769702739
NK	Asthma	-0.274408601633724	0.608114683258115
GMP-C	Progressive_supranuclear_palsy	-0.27709103585124	0.609144897601441
GMP-A	Alzheimers_combined	-0.282580020924669	0.611250601318079
GMP-C	Multiple_sclerosis	-0.284819560969616	0.612108807413958
NK	Renal_function_related_traits_BUN	-0.293061261316045	0.615262336806255
Ery	HDL_cholesterol	-0.293762081134933	0.615530143937872
Mega	C_reactive_protein	-0.294573234896481	0.615840044589467
CD4	Rheumatoid_arthritis	-0.306517108413839	0.620394522158362
LMPP	Triglycerides	-0.307732189146328	0.620856937935182
CLP	Celiac_disease	-0.309662987112143	0.621591373948647
mDC	Systemic_sclerosis	-0.32277932510218	0.626568814102266
GMP-A	Creatinine_levels	-0.323374449889374	0.626794161505518
CD8	Creatinine_levels	-0.324363933939118	0.627168739277015
mDC	Fasting_glucose_related_traits	-0.327042954591012	0.628182301553535
mDC	Type_2_diabetes	-0.327344798143772	0.628296443451454
CLP	Alzheimers_combined	-0.329010862645729	0.628926261243168
CD4	Renal_function_related_traits_BUN	-0.331736886350044	0.629956027427901
CLP	Type_2_diabetes	-0.335712147679747	0.63145602778222
LMPP	Systemic_lupus_erythematosus	-0.336729587425526	0.631839621471014
HSC	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.336944345934355	0.63192057263638
LMPP	Ulcerative_colitis	-0.33956903209579	0.632909448719943
MEP	Alzheimers_combined	-0.342080929600915	0.633855005675936
GMP-B	Creatinine_levels	-0.344041113867801	0.6345923165805
Ery	Urate_levels	-0.347866127149612	0.636029637511244
B	Behcets_disease	-0.349100015221437	0.636492887426586
GMP-B	Bone_mineral_density	-0.350952507619368	0.637188010839935
Ery	Restless_legs_syndrome	-0.35645338972303	0.639249473866149
Ery	Chronic_kidney_disease	-0.356631767827641	0.639316254000143
HSC	C_reactive_protein	-0.357816221551528	0.63975957489675
GMP-B	Progressive_supranuclear_palsy	-0.359103191119125	0.640241052775316
CD8	Rheumatoid_arthritis	-0.360456601102865	0.640747147175789
CMP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.365175899117777	0.642509946213629
CD8	Alopecia_areata	-0.367947949604474	0.643543977115814
Mega	Primary_sclerosing_cholangitis	-0.37070322452447	0.644570705813273
B	Alzheimers_combined	-0.370813133084394	0.644611640565889
CLP	Systemic_sclerosis	-0.376999133643431	0.646912875626342
GMP-B	Platelet_counts	-0.382524676669388	0.648963885624036
NK	Restless_legs_syndrome	-0.383923320140114	0.649482359258721
MEP	Atopic_dermatitis	-0.386594056550918	0.650471620662488
Ery	Crohns_disease	-0.387514537340678	0.650812337605519
MPP	Systemic_lupus_erythematosus	-0.388152720639654	0.651048490519321
GMP-A	Bone_mineral_density	-0.390085711601777	0.651763415958318
GMP-B	Urate_levels	-0.391917232930826	0.652440315246927
Mono	Progressive_supranuclear_palsy	-0.39721724536873	0.654396366927478
CD4	C_reactive_protein	-0.400328284383345	0.655542631006673
LMPP	Liver_enzyme_levels_gamma_glutamyl_transferase	-0.402046686827943	0.656175166282542
B	Allergy	-0.404051293704132	0.656912499805443
MPP	C_reactive_protein	-0.412508170618267	0.660016503399232
LMPP	Creatinine_levels	-0.413157710851832	0.660254465331724
Mono	Platelet_counts	-0.41870497360848	0.662284119818097
CMP	Alopecia_areata	-0.420353228768323	0.66288628486296
HSC	LDL_cholesterol	-0.425727275036169	0.664846707480447
Ery	Kawasaki_disease	-0.426909990785606	0.665277555836634
mDC	Progressive_supranuclear_palsy	-0.428418680806148	0.665826836762036
HSC	Alzheimers_combined	-0.435229591374819	0.66830210723946
GMP-B	Type_2_diabetes	-0.440703964699994	0.670286337014681
NK	Allergy	-0.446134880107724	0.672250090706386
pDC	Crohns_disease	-0.44825676615477	0.673016050654716
GMP-C	Type_2_diabetes	-0.448916846164444	0.673254178440685
pDC	Progressive_supranuclear_palsy	-0.456538287776489	0.675998527630096
NK	Progressive_supranuclear_palsy	-0.460534542594393	0.677433708303729
MEP	Progressive_supranuclear_palsy	-0.460793027653437	0.677526447739666
