Trait	Roadmap_ID	gchromVAR_zscore	pvalue	FDR
PLT_COUNT	E046	3.700928385	0.000107406	0.002530009
MONO_COUNT	E046	3.598530343	0.00016001	0.003667262
MCH	E051	3.444312579	0.000286257	0.006316125
PLT_COUNT	E034	3.440349089	0.000290482	0.006316125
MPV	E123	3.359674666	0.000390172	0.008271636
BASO_COUNT	E124	3.27012551	0.000537499	0.01111705
EO_COUNT	E050	3.153785662	0.000805837	0.016270234
WBC_COUNT	E116	3.098332475	0.000973065	0.019105077
HCT	E086	3.092826158	0.000991301	0.019105077
LYMPH_COUNT	E050	3.063127262	0.001095184	0.020638142
MCV	E116	2.982124897	0.001431276	0.026385261
MPV	E116	2.952183133	0.001577679	0.028233153
MCHC	E046	2.948209287	0.001598103	0.028233153
MONO_COUNT	E051	2.90531648	0.00183441	0.031746518
EO_COUNT	E033	2.846131933	0.002212693	0.03752727
RETIC_COUNT	E029	2.829148261	0.002333604	0.03880188
HCT	E123	2.803554621	0.002527134	0.041211716
HCT	E033	2.782273651	0.002698975	0.043183603
MONO_COUNT	E033	2.721880723	0.003245578	0.0509676
NEUTRO_COUNT	E116	2.698296696	0.003484765	0.053728736
LYMPH_COUNT	E051	2.685717481	0.003618713	0.054797651
WBC_COUNT	E124	2.645968662	0.004072868	0.060592845
MCHC	E080	2.621261902	0.004380247	0.064042226
PLT_COUNT	E033	2.608087603	0.004552482	0.06543229
MPV	E100	2.568851866	0.005101803	0.072105486
MPV	E029	2.552659096	0.005345204	0.074307094
HGB	E086	2.445146702	0.007239662	0.099019888
MEAN_RETIC_VOL	E050	2.378874913	0.008682784	0.115391379
RBC_COUNT	E093	2.373385524	0.008812928	0.115391379
MCV	E034	2.36907961	0.008916207	0.115391379
MCV	E109	2.366403306	0.008980933	0.115391379
NEUTRO_COUNT	E123	2.36005847	0.009136027	0.115632109
EO_COUNT	E032	2.321554914	0.010128457	0.126307816
PLT_COUNT	E124	2.280728829	0.011282249	0.138657206
RBC_COUNT	E094	2.244239599	0.012408495	0.15032005
RETIC_COUNT	E094	2.235280261	0.012699478	0.151678267
MCV	E033	2.212670035	0.013460201	0.15853126
RETIC_COUNT	E124	2.170098708	0.014999685	0.174242911
RBC_COUNT	E034	2.125082797	0.016789852	0.186938761
HCT	E034	2.123250807	0.01686642	0.186938761
RBC_COUNT	E050	2.117393235	0.017113244	0.186938761
RBC_COUNT	E033	2.116038277	0.017170776	0.186938761
MPV	E124	2.111274284	0.017374372	0.186938761
WBC_COUNT	E033	2.110322683	0.017415286	0.186938761
MCHC	E034	2.104952408	0.017647726	0.18706589
BASO_COUNT	E100	2.076048801	0.018944719	0.198334834
MCHC	E118	2.061415086	0.019631728	0.203020801
HGB	E032	2.044384043	0.020457811	0.209014746
MCH	E093	2.036172487	0.020866519	0.210652477
BASO_COUNT	E051	2.006139613	0.022420677	0.223679227
PLT_COUNT	E093	1.995671207	0.022984862	0.224732602
WBC_COUNT	E123	1.994361289	0.023056293	0.224732602
MCV	E124	1.955877993	0.025239764	0.243219546
RBC_COUNT	E032	1.940252746	0.026174491	0.249392899
HGB	E083	1.914317741	0.027789784	0.261841525
WBC_COUNT	E046	1.887282926	0.029561141	0.265980961
MCV	E046	1.880200984	0.030040346	0.265980961
PLT_COUNT	E116	1.879775948	0.03006931	0.265980961
RBC_COUNT	E116	1.875174655	0.03038435	0.265980961
MCH	E116	1.87380708	0.03047851	0.265980961
MONO_COUNT	E032	1.873121695	0.030525791	0.265980961
MCHC	E050	1.870054626	0.030738116	0.265980961
MCH	E109	1.870051031	0.030738366	0.265980961
BASO_COUNT	E050	1.855999112	0.031726842	0.27106398
HCT	E116	1.852666434	0.031965092	0.27106398
BASO_COUNT	E029	1.84098872	0.032811606	0.275487542
PLT_COUNT	E029	1.799084552	0.036002653	0.298528987
WBC_COUNT	E050	1.795839709	0.036260007	0.298528987
HCT	E085	1.786836553	0.036981955	0.30154517
HGB	E092	1.781446696	0.037419753	0.302209051
NEUTRO_COUNT	E033	1.770958854	0.038283772	0.306270177
HCT	E007	1.735990003	0.041282801	0.327175845
WBC_COUNT	E029	1.718116039	0.042887726	0.336748071
MCV	E084	1.69325352	0.045203611	0.346005707
MCHC	E100	1.691219028	0.045397489	0.346005707
EO_COUNT	E123	1.689765574	0.045536406	0.346005707
HCT	E114	1.688070305	0.045698867	0.346005707
LYMPH_COUNT	E122	1.622762441	0.052320099	0.392632246
RETIC_COUNT	E116	1.614157525	0.053246631	0.396080204
MCV	E032	1.600747589	0.054716418	0.403474109
RETIC_COUNT	E083	1.593263824	0.055550509	0.406093378
MONO_COUNT	E034	1.574424755	0.057694642	0.416316717
WBC_COUNT	E100	1.572383114	0.057930864	0.416316717
MPV	E097	1.562614748	0.059071619	0.420947333
MCH	E034	1.555907741	0.059865016	0.423046115
HCT	E008	1.53321618	0.0626113	0.438796545
HGB	E088	1.513641236	0.065058428	0.452209404
MCH	E094	1.494737588	0.06749147	0.460143568
WBC_COUNT	E051	1.491909394	0.06786145	0.460143568
LYMPH_COUNT	E097	1.486748933	0.068540567	0.460143568
MCHC	E124	1.485225009	0.068742115	0.460143568
BASO_COUNT	E055	1.483935542	0.068913011	0.460143568
RBC_COUNT	E109	1.475725445	0.070008806	0.462645824
HCT	E092	1.472974879	0.070378905	0.462645824
HGB	E034	1.460618866	0.072060033	0.470053138
NEUTRO_COUNT	E050	1.391557011	0.082028292	0.529003933
PLT_COUNT	E032	1.389469913	0.082344952	0.529003933
RETIC_COUNT	E034	1.37961045	0.083853309	0.532565724
MPV	E032	1.377651651	0.084155433	0.532565724
WBC_COUNT	E032	1.366799718	0.085844046	0.536929934
WBC_COUNT	E034	1.365096223	0.086111405	0.536929934
MCV	E093	1.356188542	0.087519593	0.538969891
RETIC_COUNT	E033	1.353193144	0.087996967	0.538969891
BASO_COUNT	E056	1.351015083	0.088345301	0.538969891
RBC_COUNT	E092	1.30544851	0.095870085	0.575962366
WBC_COUNT	E093	1.301129203	0.096607117	0.575962366
NEUTRO_COUNT	E046	1.299290526	0.096922122	0.575962366
MEAN_RETIC_VOL	E109	1.298104412	0.097125729	0.575962366
MCV	E085	1.290587415	0.098423391	0.579604415
MCHC	E033	1.272796681	0.1015451	0.589802353
RBC_COUNT	E046	1.270092993	0.102025754	0.589802353
MCHC	E051	1.268881412	0.102241681	0.589802353
BASO_COUNT	E032	1.250728155	0.105516837	0.60458296
MCH	E124	1.243474039	0.106846601	0.608093407
MONO_COUNT	E093	1.229926689	0.10936228	0.608914926
BASO_COUNT	E006	1.229273041	0.109484726	0.608914926
NEUTRO_COUNT	E032	1.226739444	0.109960269	0.608914926
MCH	E098	1.225099343	0.110268896	0.608914926
RBC_COUNT	E118	1.223442799	0.110581248	0.608914926
HGB	E122	1.216294582	0.111936362	0.611373068
HGB	E033	1.212377276	0.112683998	0.611373068
MPV	E034	1.209733775	0.113190533	0.611373068
MPV	E093	1.198018392	0.115454928	0.619656831
HCT	E046	1.19410335	0.116218772	0.619833448
MCH	E032	1.177628801	0.119472311	0.63320325
MCH	E033	1.166845487	0.121636387	0.640668671
BASO_COUNT	E097	1.154494376	0.124148772	0.649865174
MCH	E118	1.129096429	0.129428579	0.673346226
MCH	E085	1.116424196	0.132120301	0.678682364
HGB	E007	1.105601686	0.13444948	0.678682364
RETIC_COUNT	E046	1.103695999	0.134862516	0.678682364
HGB	E008	1.101818324	0.135270331	0.678682364
HGB	E080	1.101256123	0.135392601	0.678682364
MEAN_RETIC_VOL	E059	1.100144477	0.135634589	0.678682364
WBC_COUNT	E080	1.098209057	0.136056606	0.678682364
MCV	E029	1.088064439	0.138283331	0.682822368
MCH	E084	1.087096918	0.13849699	0.682822368
WBC_COUNT	E097	1.075189364	0.141144978	0.683698088
RBC_COUNT	E098	1.073852423	0.141444415	0.683698088
MEAN_RETIC_VOL	E118	1.070977308	0.142089816	0.683698088
RBC_COUNT	E051	1.070911166	0.142104687	0.683698088
MEAN_RETIC_VOL	E124	1.067229133	0.14293419	0.683698088
EO_COUNT	E118	1.060287889	0.144506824	0.683698088
WBC_COUNT	E004	1.057802715	0.145072697	0.683698088
MEAN_RETIC_VOL	E093	1.05625383	0.145426132	0.683698088
HCT	E021	1.054046379	0.145930842	0.683698088
MPV	E083	1.027380329	0.152120705	0.708782187
NEUTRO_COUNT	E051	1.017669821	0.154417447	0.715551885
MCHC	E116	1.006525796	0.157081355	0.720035327
HCT	E088	1.005498691	0.15732839	0.720035327
NEUTRO_COUNT	E034	1.002992347	0.157932277	0.720035327
MCHC	E032	0.99784785	0.159176572	0.721827448
RETIC_COUNT	E032	0.975883287	0.164561153	0.742275838
MEAN_RETIC_VOL	E080	0.952029216	0.170541083	0.765179038
MCH	E046	0.941773472	0.173154315	0.772815048
EO_COUNT	E093	0.907336825	0.182114353	0.808549589
HCT	E084	0.898326015	0.184505884	0.814900986
HCT	E003	0.88786582	0.187306466	0.816232628
NEUTRO_COUNT	E029	0.887783996	0.187328477	0.816232628
RBC_COUNT	E086	0.885830334	0.187854481	0.816232628
HGB	E118	0.882854143	0.188657541	0.816232628
MCH	E092	0.873622177	0.191162022	0.818513082
MEAN_RETIC_VOL	E051	0.873485307	0.191199306	0.818513082
MPV	E033	0.870255813	0.19208031	0.818513082
NEUTRO_COUNT	E124	0.857261814	0.195650104	0.82955644
HGB	E085	0.814913375	0.207560948	0.87568002
NEUTRO_COUNT	E093	0.809708214	0.209053948	0.877612614
RETIC_COUNT	E050	0.803450062	0.210857325	0.878994412
HCT	E080	0.801378763	0.211456203	0.878994412
MCH	E029	0.783114778	0.216779857	0.896728383
HGB	E114	0.779167475	0.217940533	0.897153264
BASO_COUNT	E017	0.751509485	0.226173047	0.926544658
RETIC_COUNT	E093	0.741357228	0.229238436	0.934587468
HCT	E109	0.733787264	0.231539202	0.937945168
HGB	E046	0.731377975	0.232274157	0.937945168
HCT	E098	0.718369524	0.236264737	0.949537898
RBC_COUNT	E084	0.684336638	0.246881308	0.984881165
HCT	E118	0.682622157	0.247422815	0.984881165
MPV	E122	0.679081461	0.248543124	0.984881165
MCHC	E029	0.666772136	0.252458847	0.99574466
RBC_COUNT	E091	0.656686075	0.255691395	0.999993427
NEUTRO_COUNT	E097	0.635054574	0.262696411	0.999993427
MCHC	E086	0.621517929	0.267129451	0.999993427
HCT	E097	0.620524345	0.267456316	0.999993427
MEAN_RETIC_VOL	E116	0.617730079	0.268376641	0.999993427
NEUTRO_COUNT	E006	0.596784228	0.275325725	0.999993427
MEAN_RETIC_VOL	E094	0.596415986	0.275448682	0.999993427
MEAN_RETIC_VOL	E006	0.578082559	0.281604191	0.999993427
LYMPH_COUNT	E124	0.575032894	0.282634525	0.999993427
RBC_COUNT	E059	0.570824654	0.284059255	0.999993427
MCV	E094	0.563934249	0.28639944	0.999993427
PLT_COUNT	E122	0.545643845	0.29265539	0.999993427
LYMPH_COUNT	E006	0.544693723	0.292982092	0.999993427
PLT_COUNT	E109	0.538621449	0.295074042	0.999993427
MONO_COUNT	E100	0.535727103	0.296073585	0.999993427
RETIC_COUNT	E098	0.534451181	0.296514709	0.999993427
LYMPH_COUNT	E088	0.526565852	0.299247555	0.999993427
MONO_COUNT	E109	0.513828011	0.303686121	0.999993427
MCH	E122	0.510719678	0.30477368	0.999993427
HCT	E004	0.501539468	0.307995754	0.999993427
BASO_COUNT	E046	0.498026861	0.309232555	0.999993427
RETIC_COUNT	E051	0.479942299	0.315634212	0.999993427
RBC_COUNT	E085	0.468030759	0.319881297	0.999993427
MEAN_RETIC_VOL	E029	0.463782917	0.321401642	0.999993427
NEUTRO_COUNT	E091	0.460756618	0.322486615	0.999993427
MCV	E098	0.457334691	0.323715249	0.999993427
RBC_COUNT	E005	0.455415791	0.324405069	0.999993427
RETIC_COUNT	E080	0.455378954	0.324418317	0.999993427
HGB	E116	0.44621287	0.327721743	0.999993427
HCT	E006	0.438711185	0.330435411	0.999993427
NEUTRO_COUNT	E004	0.435011874	0.331776904	0.999993427
MCH	E083	0.43134369	0.333109243	0.999993427
NEUTRO_COUNT	E080	0.428085577	0.334294409	0.999993427
HCT	E051	0.40169323	0.343954904	0.999993427
HGB	E084	0.392055981	0.347508425	0.999993427
WBC_COUNT	E006	0.387386997	0.349234864	0.999993427
BASO_COUNT	E033	0.384349903	0.350359563	0.999993427
RETIC_COUNT	E117	0.375409728	0.353677886	0.999993427
HCT	E022	0.36458006	0.357712451	0.999993427
RETIC_COUNT	E127	0.361997185	0.358677067	0.999993427
MCHC	E083	0.35155169	0.362587251	0.999993427
NEUTRO_COUNT	E100	0.340318183	0.366808463	0.999993427
RETIC_COUNT	E118	0.322705002	0.373459332	0.999993427
RETIC_COUNT	E122	0.321132771	0.374054888	0.999993427
BASO_COUNT	E116	0.320575068	0.374266217	0.999993427
MCV	E118	0.319827419	0.374549581	0.999993427
HCT	E093	0.298183551	0.382781538	0.999993427
MCV	E080	0.272449302	0.392638284	0.999993427
HGB	E098	0.269563737	0.393747951	0.999993427
BASO_COUNT	E093	0.26505558	0.395483323	0.999993427
RBC_COUNT	E029	0.254450798	0.399573655	0.999993427
BASO_COUNT	E126	0.243982566	0.403622161	0.999993427
MCV	E119	0.227300005	0.410095235	0.999993427
MONO_COUNT	E098	0.225906453	0.410637089	0.999993427
NEUTRO_COUNT	E056	0.214943513	0.414905679	0.999993427
HCT	E122	0.213264035	0.415560512	0.999993427
HCT	E094	0.21261379	0.415814107	0.999993427
MCH	E097	0.206448299	0.418220373	0.999993427
MONO_COUNT	E059	0.206078615	0.418364751	0.999993427
HGB	E119	0.205713896	0.418507202	0.999993427
MEAN_RETIC_VOL	E004	0.202431497	0.419789704	0.999993427
LYMPH_COUNT	E127	0.19540896	0.422536401	0.999993427
NEUTRO_COUNT	E003	0.187813045	0.425511605	0.999993427
HCT	E050	0.181134611	0.428130959	0.999993427
BASO_COUNT	E120	0.176919968	0.429785627	0.999993427
EO_COUNT	E091	0.169541286	0.43268545	0.999993427
MEAN_RETIC_VOL	E083	0.164089356	0.4348304	0.999993427
MCHC	E090	0.161541711	0.435833381	0.999993427
WBC_COUNT	E098	0.147987262	0.44117641	0.999993427
MEAN_RETIC_VOL	E120	0.14079596	0.444015567	0.999993427
EO_COUNT	E109	0.12944115	0.448504294	0.999993427
LYMPH_COUNT	E123	0.124986169	0.45026725	0.999993427
HGB	E021	0.12215766	0.451387079	0.999993427
WBC_COUNT	E003	0.121743664	0.451551016	0.999993427
MEAN_RETIC_VOL	E121	0.121640962	0.451591686	0.999993427
MEAN_RETIC_VOL	E084	0.114526084	0.454410385	0.999993427
NEUTRO_COUNT	E094	0.112738214	0.455119052	0.999993427
RETIC_COUNT	E091	0.102229437	0.459287281	0.999993427
WBC_COUNT	E109	0.09876259	0.460663386	0.999993427
MCH	E080	0.096184651	0.461686961	0.999993427
WBC_COUNT	E089	0.090185092	0.464070065	0.999993427
HCT	E127	0.083955537	0.466545891	0.999993427
NEUTRO_COUNT	E022	0.075597801	0.469869543	0.999993427
MEAN_RETIC_VOL	E114	0.075404447	0.46994646	0.999993427
MPV	E126	0.070178487	0.472025799	0.999993427
HGB	E094	0.050478822	0.479870413	0.999993427
MCHC	E098	0.047154724	0.481194956	0.999993427
MCV	E097	0.04674502	0.481358224	0.999993427
RBC_COUNT	E124	0.041419	0.483480933	0.999993427
EO_COUNT	E017	0.036759545	0.485338365	0.999993427
MONO_COUNT	E006	0.026658344	0.489366119	0.999993427
MCV	E092	0.025008463	0.490024106	0.999993427
PLT_COUNT	E084	0.024025683	0.490416061	0.999993427
BASO_COUNT	E089	0.022304277	0.491102618	0.999993427
BASO_COUNT	E034	0.021953373	0.491242575	0.999993427
HGB	E028	0.017659881	0.492955093	0.999993427
EO_COUNT	E100	0.017276539	0.493108001	0.999993427
BASO_COUNT	E090	0.012614284	0.494967762	0.999993427
MONO_COUNT	E097	0.007302402	0.497086789	0.999993427
MONO_COUNT	E091	0.00030914	0.499876671	0.999993427
HGB	E051	-0.00100554	0.500401152	0.999993427
MEAN_RETIC_VOL	E085	-0.002416198	0.500963923	0.999993427
HGB	E127	-0.009672483	0.503858702	0.999993427
HGB	E004	-0.010684488	0.504262413	0.999993427
RBC_COUNT	E080	-0.011221525	0.504476647	0.999993427
WBC_COUNT	E088	-0.019405411	0.507741153	0.999993427
MCH	E086	-0.020317844	0.508105089	0.999993427
HGB	E006	-0.022875547	0.509125227	0.999993427
BASO_COUNT	E059	-0.023548427	0.509393595	0.999993427
RETIC_COUNT	E006	-0.027175923	0.51084029	0.999993427
NEUTRO_COUNT	E021	-0.046629177	0.518595611	0.999993427
HCT	E083	-0.046940011	0.51871948	0.999993427
HGB	E109	-0.051313211	0.520462029	0.999993427
WBC_COUNT	E091	-0.052111264	0.520779981	0.999993427
MPV	E006	-0.054298127	0.521651179	0.999993427
MEAN_RETIC_VOL	E034	-0.059952062	0.523903092	0.999993427
WBC_COUNT	E022	-0.071376317	0.528450871	0.999993427
HGB	E093	-0.077530617	0.530899282	0.999993427
PLT_COUNT	E083	-0.084739848	0.533765892	0.999993427
HCT	E117	-0.090083433	0.535889543	0.999993427
HGB	E117	-0.111449719	0.544370132	0.999993427
NEUTRO_COUNT	E109	-0.125004935	0.549740178	0.999993427
MEAN_RETIC_VOL	E098	-0.128336651	0.551058719	0.999993427
HGB	E050	-0.128905648	0.551283846	0.999993427
MCH	E091	-0.134173061	0.553367136	0.999993427
MEAN_RETIC_VOL	E092	-0.154945083	0.561567694	0.999993427
MCHC	E089	-0.155383074	0.561740337	0.999993427
NEUTRO_COUNT	E098	-0.15793923	0.562747658	0.999993427
LYMPH_COUNT	E028	-0.176537961	0.570064336	0.999993427
NEUTRO_COUNT	E092	-0.189430815	0.575122413	0.999993427
NEUTRO_COUNT	E008	-0.196878761	0.578038793	0.999993427
MPV	E090	-0.199977632	0.579250963	0.999993427
RBC_COUNT	E088	-0.201389247	0.579802889	0.999993427
MCHC	E109	-0.206007457	0.581607457	0.999993427
LYMPH_COUNT	E057	-0.206291666	0.581718456	0.999993427
HGB	E022	-0.213489119	0.584527262	0.999993427
RETIC_COUNT	E100	-0.217530151	0.586102394	0.999993427
NEUTRO_COUNT	E085	-0.219871657	0.587014445	0.999993427
HGB	E091	-0.222402846	0.587999852	0.999993427
MCH	E059	-0.224417113	0.588783622	0.999993427
HCT	E124	-0.225517374	0.589211594	0.999993427
RETIC_COUNT	E097	-0.23663935	0.593531705	0.999993427
HCT	E029	-0.251056383	0.599114741	0.999993427
WBC_COUNT	E090	-0.260298819	0.602683358	0.999993427
MPV	E088	-0.263185868	0.603796339	0.999993427
LYMPH_COUNT	E117	-0.276469186	0.608906138	0.999993427
MONO_COUNT	E114	-0.276588315	0.608951881	0.999993427
MPV	E089	-0.283802424	0.611719101	0.999993427
BASO_COUNT	E118	-0.28914217	0.613763708	0.999993427
BASO_COUNT	E125	-0.290307841	0.61420963	0.999993427
BASO_COUNT	E098	-0.294255085	0.615718504	0.999993427
NEUTRO_COUNT	E055	-0.294455321	0.615795	0.999993427
HCT	E091	-0.304073985	0.619464237	0.999993427
PLT_COUNT	E097	-0.311662585	0.622351517	0.999993427
NEUTRO_COUNT	E089	-0.312711001	0.622749882	0.999993427
HGB	E003	-0.317866174	0.624706774	0.999993427
MEAN_RETIC_VOL	E055	-0.318308096	0.624874378	0.999993427
MONO_COUNT	E122	-0.322204256	0.62635102	0.999993427
RETIC_COUNT	E086	-0.327800209	0.628468635	0.999993427
RBC_COUNT	E097	-0.328768947	0.628834832	0.999993427
NEUTRO_COUNT	E126	-0.335484348	0.631370125	0.999993427
WBC_COUNT	E008	-0.337077422	0.631970731	0.999993427
MPV	E109	-0.342817121	0.634131978	0.999993427
MCHC	E006	-0.344548657	0.634783145	0.999993427
WBC_COUNT	E114	-0.345381035	0.635096034	0.999993427
MPV	E056	-0.348465685	0.63625476	0.999993427
BASO_COUNT	E122	-0.355951104	0.639061408	0.999993427
RBC_COUNT	E083	-0.362685831	0.641580207	0.999993427
RBC_COUNT	E004	-0.364328624	0.642193686	0.999993427
HGB	E005	-0.364625948	0.642304679	0.999993427
BASO_COUNT	E088	-0.37264899	0.645295147	0.999993427
LYMPH_COUNT	E085	-0.386433668	0.65041224	0.999993427
BASO_COUNT	E123	-0.388756151	0.65127173	0.999993427
MPV	E055	-0.39753311	0.654512812	0.999993427
RETIC_COUNT	E092	-0.404493571	0.657075098	0.999993427
RETIC_COUNT	E088	-0.412809517	0.660126911	0.999993427
RBC_COUNT	E114	-0.414822197	0.660863966	0.999993427
NEUTRO_COUNT	E114	-0.420766634	0.663037251	0.999993427
WBC_COUNT	E120	-0.427624813	0.665537851	0.999993427
MCH	E006	-0.429309506	0.666151	0.999993427
BASO_COUNT	E080	-0.434463605	0.668024091	0.999993427
MCHC	E127	-0.445822247	0.672137175	0.999993427
RETIC_COUNT	E005	-0.44947188	0.673454356	0.999993427
MCHC	E057	-0.450634351	0.673873448	0.999993427
MONO_COUNT	E088	-0.45100253	0.674006137	0.999993427
LYMPH_COUNT	E080	-0.458779731	0.676803824	0.999993427
PLT_COUNT	E085	-0.466060972	0.679414071	0.999993427
LYMPH_COUNT	E029	-0.469821832	0.680758843	0.999993427
RBC_COUNT	E122	-0.470841957	0.6811232	0.999993427
MEAN_RETIC_VOL	E056	-0.472165262	0.681595584	0.999993427
MCV	E006	-0.472277676	0.681635699	0.999993427
RBC_COUNT	E119	-0.473433605	0.68204807	0.999993427
EO_COUNT	E006	-0.477405453	0.683463284	0.999993427
HCT	E005	-0.484817734	0.686097179	0.999993427
NEUTRO_COUNT	E117	-0.485084138	0.686191668	0.999993427
WBC_COUNT	E021	-0.492161204	0.688697306	0.999993427
WBC_COUNT	E059	-0.499721808	0.691364513	0.999993427
LYMPH_COUNT	E090	-0.501510135	0.691993927	0.999993427
EO_COUNT	E059	-0.50462817	0.69308999	0.999993427
MCHC	E088	-0.505137834	0.693268985	0.999993427
NEUTRO_COUNT	E017	-0.506822158	0.693860196	0.999993427
BASO_COUNT	E114	-0.510364488	0.695101935	0.999993427
EO_COUNT	E097	-0.514407558	0.696516462	0.999993427
LYMPH_COUNT	E004	-0.518470854	0.697935105	0.999993427
BASO_COUNT	E119	-0.520091676	0.69850016	0.999993427
NEUTRO_COUNT	E090	-0.525310943	0.700316474	0.999993427
PLT_COUNT	E118	-0.531128901	0.702335271	0.999993427
BASO_COUNT	E117	-0.535741575	0.703931417	0.999993427
MEAN_RETIC_VOL	E046	-0.535884173	0.703980698	0.999993427
MCHC	E059	-0.536627937	0.704237679	0.999993427
BASO_COUNT	E091	-0.537816718	0.704648205	0.999993427
RETIC_COUNT	E114	-0.544870871	0.707078834	0.999993427
MEAN_RETIC_VOL	E097	-0.54557588	0.707321246	0.999993427
RETIC_COUNT	E084	-0.548401781	0.708291973	0.999993427
MCHC	E017	-0.548765572	0.70841683	0.999993427
RETIC_COUNT	E007	-0.561034849	0.71261311	0.999993427
RBC_COUNT	E007	-0.562589901	0.713142915	0.999993427
RETIC_COUNT	E120	-0.56634239	0.714419475	0.999993427
EO_COUNT	E088	-0.568839738	0.715267548	0.999993427
NEUTRO_COUNT	E088	-0.584983651	0.720720645	0.999993427
BASO_COUNT	E083	-0.58582201	0.721002434	0.999993427
LYMPH_COUNT	E084	-0.612871676	0.730019404	0.999993427
BASO_COUNT	E128	-0.613646915	0.730275663	0.999993427
RETIC_COUNT	E089	-0.614333434	0.730502493	0.999993427
NEUTRO_COUNT	E122	-0.61460639	0.730592653	0.999993427
EO_COUNT	E084	-0.622060201	0.733048858	0.999993427
MPV	E059	-0.62500117	0.734014855	0.999993427
MEAN_RETIC_VOL	E033	-0.638020291	0.738269764	0.999993427
MCH	E119	-0.638133663	0.738306663	0.999993427
BASO_COUNT	E084	-0.642173538	0.739619744	0.999993427
PLT_COUNT	E006	-0.64291559	0.739860563	0.999993427
RETIC_COUNT	E109	-0.643876242	0.740172155	0.999993427
MONO_COUNT	E084	-0.652694285	0.743023306	0.999993427
LYMPH_COUNT	E083	-0.65634272	0.744198182	0.999993427
EO_COUNT	E114	-0.656655974	0.744298926	0.999993427
MEAN_RETIC_VOL	E086	-0.661192377	0.745755525	0.999993427
WBC_COUNT	E127	-0.66196758	0.746004	0.999993427
MEAN_RETIC_VOL	E128	-0.663802756	0.746591719	0.999993427
NEUTRO_COUNT	E120	-0.669428902	0.74838904	0.999993427
LYMPH_COUNT	E118	-0.671848232	0.74915984	0.999993427
RETIC_COUNT	E085	-0.682008151	0.752383102	0.999993427
NEUTRO_COUNT	E059	-0.683183813	0.75275465	0.999993427
MCH	E114	-0.688593423	0.754460419	0.999993427
PLT_COUNT	E127	-0.700618673	0.758229489	0.999993427
HGB	E055	-0.702404178	0.75878643	0.999993427
MPV	E121	-0.709089748	0.760865608	0.999993427
MCV	E114	-0.70925594	0.760917168	0.999993427
MPV	E091	-0.709414421	0.760966329	0.999993427
MCHC	E085	-0.711465158	0.761601983	0.999993427
MCHC	E121	-0.725484574	0.765922597	0.999993427
HGB	E057	-0.731154218	0.76765752	0.999993427
WBC_COUNT	E094	-0.742542278	0.771120577	0.999993427
MEAN_RETIC_VOL	E005	-0.743853608	0.771517478	0.999993427
WBC_COUNT	E118	-0.749852893	0.773328346	0.999993427
MEAN_RETIC_VOL	E032	-0.751973335	0.773966453	0.999993427
HGB	E059	-0.752995059	0.774273558	0.999993427
MEAN_RETIC_VOL	E017	-0.754881094	0.774839835	0.999993427
LYMPH_COUNT	E022	-0.756906228	0.775446978	0.999993427
HCT	E119	-0.762728605	0.777187366	0.999993427
EO_COUNT	E120	-0.762807819	0.777210991	0.999993427
