Description	File	wget command	Dropbox address
Nap during day	1190.assoc.tsv.gz	wget https://www.dropbox.com/s/hrhh69g8dzpas6d/1190.assoc.tsv.gz?dl=0 -O 1190.assoc.tsv.gz	https://www.dropbox.com/s/hrhh69g8dzpas6d/1190.assoc.tsv.gz?dl=0
Exposure to tobacco smoke at home	1269.assoc.tsv.gz	wget https://www.dropbox.com/s/uofciwmge3cxnqh/1269.assoc.tsv.gz?dl=0 -O 1269.assoc.tsv.gz	https://www.dropbox.com/s/uofciwmge3cxnqh/1269.assoc.tsv.gz?dl=0
Exposure to tobacco smoke outside home	1279.assoc.tsv.gz	wget https://www.dropbox.com/s/882eys5tzi9pg0h/1279.assoc.tsv.gz?dl=0 -O 1279.assoc.tsv.gz	https://www.dropbox.com/s/882eys5tzi9pg0h/1279.assoc.tsv.gz?dl=0
Number of operations, self-reported	136.assoc.tsv.gz	wget https://www.dropbox.com/s/b3zyh8nppkil6bz/136.assoc.tsv.gz?dl=0 -O 136.assoc.tsv.gz	https://www.dropbox.com/s/b3zyh8nppkil6bz/136.assoc.tsv.gz?dl=0
Average weekly fortified wine intake	1608.assoc.tsv.gz	wget https://www.dropbox.com/s/fw8aczgycscsbif/1608.assoc.tsv.gz?dl=0 -O 1608.assoc.tsv.gz	https://www.dropbox.com/s/fw8aczgycscsbif/1608.assoc.tsv.gz?dl=0
Frequency of light DIY in last 4 weeks	1011.assoc.tsv.gz	wget https://www.dropbox.com/s/jn1rxtsmx6fl90s/1011.assoc.tsv.gz?dl=0 -O 1011.assoc.tsv.gz	https://www.dropbox.com/s/jn1rxtsmx6fl90s/1011.assoc.tsv.gz?dl=0
Pulse rate, automated reading	102.assoc.tsv.gz	wget https://www.dropbox.com/s/q3lobl1ch86lale/102.assoc.tsv.gz?dl=0 -O 102.assoc.tsv.gz	https://www.dropbox.com/s/q3lobl1ch86lale/102.assoc.tsv.gz?dl=0
Duration of light DIY	1021.assoc.tsv.gz	wget https://www.dropbox.com/s/sskzaz4fx1k548y/1021.assoc.tsv.gz?dl=0 -O 1021.assoc.tsv.gz	https://www.dropbox.com/s/sskzaz4fx1k548y/1021.assoc.tsv.gz?dl=0
Time spent using computer	1080.assoc.tsv.gz	wget https://www.dropbox.com/s/t1hobq1cvd6ezta/1080.assoc.tsv.gz?dl=0 -O 1080.assoc.tsv.gz	https://www.dropbox.com/s/t1hobq1cvd6ezta/1080.assoc.tsv.gz?dl=0
Drive faster than motorway speed limit	1100.assoc.tsv.gz	wget https://www.dropbox.com/s/96pu9n6wf9kzcbt/1100.assoc.tsv.gz?dl=0 -O 1100.assoc.tsv.gz	https://www.dropbox.com/s/96pu9n6wf9kzcbt/1100.assoc.tsv.gz?dl=0
Getting up in morning	1170.assoc.tsv.gz	wget https://www.dropbox.com/s/77jgvtq4oeozicp/1170.assoc.tsv.gz?dl=0 -O 1170.assoc.tsv.gz	https://www.dropbox.com/s/77jgvtq4oeozicp/1170.assoc.tsv.gz?dl=0
Morning/evening person (chronotype)	1180.assoc.tsv.gz	wget https://www.dropbox.com/s/z7cppp7ndmylpf0/1180.assoc.tsv.gz?dl=0 -O 1180.assoc.tsv.gz	https://www.dropbox.com/s/z7cppp7ndmylpf0/1180.assoc.tsv.gz?dl=0
Sleeplessness / insomnia	1200.assoc.tsv.gz	wget https://www.dropbox.com/s/ugt1g44ycju9ms5/1200.assoc.tsv.gz?dl=0 -O 1200.assoc.tsv.gz	https://www.dropbox.com/s/ugt1g44ycju9ms5/1200.assoc.tsv.gz?dl=0
Past tobacco smoking	1249.assoc.tsv.gz	wget https://www.dropbox.com/s/5rnk0f3r4dz42go/1249.assoc.tsv.gz?dl=0 -O 1249.assoc.tsv.gz	https://www.dropbox.com/s/5rnk0f3r4dz42go/1249.assoc.tsv.gz?dl=0
Smoking/smokers in household	1259.assoc.tsv.gz	wget https://www.dropbox.com/s/55nl4rxbg3x0atz/1259.assoc.tsv.gz?dl=0 -O 1259.assoc.tsv.gz	https://www.dropbox.com/s/55nl4rxbg3x0atz/1259.assoc.tsv.gz?dl=0
Number of self-reported cancers	134.assoc.tsv.gz	wget https://www.dropbox.com/s/t3cunq8yvf80et9/134.assoc.tsv.gz?dl=0 -O 134.assoc.tsv.gz	https://www.dropbox.com/s/t3cunq8yvf80et9/134.assoc.tsv.gz?dl=0
Number of self-reported non-cancer illnesses	135.assoc.tsv.gz	wget https://www.dropbox.com/s/l1mzdbk2er8tlfm/135.assoc.tsv.gz?dl=0 -O 135.assoc.tsv.gz	https://www.dropbox.com/s/l1mzdbk2er8tlfm/135.assoc.tsv.gz?dl=0
Number of treatments/medications taken	137.assoc.tsv.gz	wget https://www.dropbox.com/s/tvgy7ezrqubg5h8/137.assoc.tsv.gz?dl=0 -O 137.assoc.tsv.gz	https://www.dropbox.com/s/tvgy7ezrqubg5h8/137.assoc.tsv.gz?dl=0
Alcohol intake frequency.	1558.assoc.tsv.gz	wget https://www.dropbox.com/s/1rbjqix92wbm1ar/1558.assoc.tsv.gz?dl=0 -O 1558.assoc.tsv.gz	https://www.dropbox.com/s/1rbjqix92wbm1ar/1558.assoc.tsv.gz?dl=0
Average weekly red wine intake	1568.assoc.tsv.gz	wget https://www.dropbox.com/s/ak9fhxxhgtphm12/1568.assoc.tsv.gz?dl=0 -O 1568.assoc.tsv.gz	https://www.dropbox.com/s/ak9fhxxhgtphm12/1568.assoc.tsv.gz?dl=0
Average weekly champagne plus white wine intake	1578.assoc.tsv.gz	wget https://www.dropbox.com/s/xnof9bsrwqx1z57/1578.assoc.tsv.gz?dl=0 -O 1578.assoc.tsv.gz	https://www.dropbox.com/s/xnof9bsrwqx1z57/1578.assoc.tsv.gz?dl=0
Average weekly beer plus cider intake	1588.assoc.tsv.gz	wget https://www.dropbox.com/s/mgwk0h3f50c0j0g/1588.assoc.tsv.gz?dl=0 -O 1588.assoc.tsv.gz	https://www.dropbox.com/s/mgwk0h3f50c0j0g/1588.assoc.tsv.gz?dl=0
Average weekly spirits intake	1598.assoc.tsv.gz	wget https://www.dropbox.com/s/yh7i3mh1wcgoty2/1598.assoc.tsv.gz?dl=0 -O 1598.assoc.tsv.gz	https://www.dropbox.com/s/yh7i3mh1wcgoty2/1598.assoc.tsv.gz?dl=0
Alcohol usually taken with meals	1618.assoc.tsv.gz	wget https://www.dropbox.com/s/inh7e7x12xwt0vs/1618.assoc.tsv.gz?dl=0 -O 1618.assoc.tsv.gz	https://www.dropbox.com/s/inh7e7x12xwt0vs/1618.assoc.tsv.gz?dl=0
Alcohol intake versus 10 years previously	1628.assoc.tsv.gz	wget https://www.dropbox.com/s/gpg6t3i8gaiqdel/1628.assoc.tsv.gz?dl=0 -O 1628.assoc.tsv.gz	https://www.dropbox.com/s/gpg6t3i8gaiqdel/1628.assoc.tsv.gz?dl=0
Breastfed as a baby	1677.assoc.tsv.gz	wget https://www.dropbox.com/s/ln5h89c5js6d0jf/1677.assoc.tsv.gz?dl=0 -O 1677.assoc.tsv.gz	https://www.dropbox.com/s/ln5h89c5js6d0jf/1677.assoc.tsv.gz?dl=0
Comparative body size at age 10	1687.assoc.tsv.gz	wget https://www.dropbox.com/s/hhmkxhubbrk9e5z/1687.assoc.tsv.gz?dl=0 -O 1687.assoc.tsv.gz	https://www.dropbox.com/s/hhmkxhubbrk9e5z/1687.assoc.tsv.gz?dl=0
Comparative height size at age 10	1697.assoc.tsv.gz	wget https://www.dropbox.com/s/heqi5qzjnadavjy/1697.assoc.tsv.gz?dl=0 -O 1697.assoc.tsv.gz	https://www.dropbox.com/s/heqi5qzjnadavjy/1697.assoc.tsv.gz?dl=0
Handedness (chirality/laterality): Left-handed	1707_2.assoc.tsv.gz	wget https://www.dropbox.com/s/nmlqmrsl9l66qas/1707_2.assoc.tsv.gz?dl=0 -O 1707_2.assoc.tsv.gz	https://www.dropbox.com/s/nmlqmrsl9l66qas/1707_2.assoc.tsv.gz?dl=0
Handedness (chirality/laterality): Use both right and left hands equally	1707_3.assoc.tsv.gz	wget https://www.dropbox.com/s/uwpewpzevn9vba6/1707_3.assoc.tsv.gz?dl=0 -O 1707_3.assoc.tsv.gz	https://www.dropbox.com/s/uwpewpzevn9vba6/1707_3.assoc.tsv.gz?dl=0
Adopted as a child	1767.assoc.tsv.gz	wget https://www.dropbox.com/s/l6ih6fnb13v52i2/1767.assoc.tsv.gz?dl=0 -O 1767.assoc.tsv.gz	https://www.dropbox.com/s/l6ih6fnb13v52i2/1767.assoc.tsv.gz?dl=0
Part of a multiple birth	1777.assoc.tsv.gz	wget https://www.dropbox.com/s/jf8iqvjtdur1gz9/1777.assoc.tsv.gz?dl=0 -O 1777.assoc.tsv.gz	https://www.dropbox.com/s/jf8iqvjtdur1gz9/1777.assoc.tsv.gz?dl=0
Maternal smoking around birth	1787.assoc.tsv.gz	wget https://www.dropbox.com/s/4thqzkno4dhiprq/1787.assoc.tsv.gz?dl=0 -O 1787.assoc.tsv.gz	https://www.dropbox.com/s/4thqzkno4dhiprq/1787.assoc.tsv.gz?dl=0
Father still alive	1797.assoc.tsv.gz	wget https://www.dropbox.com/s/m2mqyk6lzzwb4xb/1797.assoc.tsv.gz?dl=0 -O 1797.assoc.tsv.gz	https://www.dropbox.com/s/m2mqyk6lzzwb4xb/1797.assoc.tsv.gz?dl=0
Father's age at death	1807.assoc.tsv.gz	wget https://www.dropbox.com/s/qftvyi5a9qkb5xw/1807.assoc.tsv.gz?dl=0 -O 1807.assoc.tsv.gz	https://www.dropbox.com/s/qftvyi5a9qkb5xw/1807.assoc.tsv.gz?dl=0
Mother still alive	1835.assoc.tsv.gz	wget https://www.dropbox.com/s/gzoyq26ak37mpqg/1835.assoc.tsv.gz?dl=0 -O 1835.assoc.tsv.gz	https://www.dropbox.com/s/gzoyq26ak37mpqg/1835.assoc.tsv.gz?dl=0
Number of full brothers	1873.assoc.tsv.gz	wget https://www.dropbox.com/s/fec9nf8bjf9pq1x/1873.assoc.tsv.gz?dl=0 -O 1873.assoc.tsv.gz	https://www.dropbox.com/s/fec9nf8bjf9pq1x/1873.assoc.tsv.gz?dl=0
Number of full sisters	1883.assoc.tsv.gz	wget https://www.dropbox.com/s/xui66z6znf4bg4r/1883.assoc.tsv.gz?dl=0 -O 1883.assoc.tsv.gz	https://www.dropbox.com/s/xui66z6znf4bg4r/1883.assoc.tsv.gz?dl=0
Townsend deprivation index at recruitment	189.assoc.tsv.gz	wget https://www.dropbox.com/s/ia7o57jpr4so3y7/189.assoc.tsv.gz?dl=0 -O 189.assoc.tsv.gz	https://www.dropbox.com/s/ia7o57jpr4so3y7/189.assoc.tsv.gz?dl=0
Mood swings	1920.assoc.tsv.gz	wget https://www.dropbox.com/s/4on2uuwif6dg5y5/1920.assoc.tsv.gz?dl=0 -O 1920.assoc.tsv.gz	https://www.dropbox.com/s/4on2uuwif6dg5y5/1920.assoc.tsv.gz?dl=0
Miserableness	1930.assoc.tsv.gz	wget https://www.dropbox.com/s/07uak0zblg3389r/1930.assoc.tsv.gz?dl=0 -O 1930.assoc.tsv.gz	https://www.dropbox.com/s/07uak0zblg3389r/1930.assoc.tsv.gz?dl=0
Irritability	1940.assoc.tsv.gz	wget https://www.dropbox.com/s/r8tcj6ppl7lpq28/1940.assoc.tsv.gz?dl=0 -O 1940.assoc.tsv.gz	https://www.dropbox.com/s/r8tcj6ppl7lpq28/1940.assoc.tsv.gz?dl=0
Sensitivity / hurt feelings	1950.assoc.tsv.gz	wget https://www.dropbox.com/s/ukp3mnimnakr3vk/1950.assoc.tsv.gz?dl=0 -O 1950.assoc.tsv.gz	https://www.dropbox.com/s/ukp3mnimnakr3vk/1950.assoc.tsv.gz?dl=0
Fed-up feelings	1960.assoc.tsv.gz	wget https://www.dropbox.com/s/9jgyinav70j7h3x/1960.assoc.tsv.gz?dl=0 -O 1960.assoc.tsv.gz	https://www.dropbox.com/s/9jgyinav70j7h3x/1960.assoc.tsv.gz?dl=0
Nervous feelings	1970.assoc.tsv.gz	wget https://www.dropbox.com/s/lxtaah4epiik9mq/1970.assoc.tsv.gz?dl=0 -O 1970.assoc.tsv.gz	https://www.dropbox.com/s/lxtaah4epiik9mq/1970.assoc.tsv.gz?dl=0
Worrier / anxious feelings	1980.assoc.tsv.gz	wget https://www.dropbox.com/s/s9qr189iwb3tfpm/1980.assoc.tsv.gz?dl=0 -O 1980.assoc.tsv.gz	https://www.dropbox.com/s/s9qr189iwb3tfpm/1980.assoc.tsv.gz?dl=0
Tense / 'highly strung'	1990.assoc.tsv.gz	wget https://www.dropbox.com/s/vfmn450a4n5hq57/1990.assoc.tsv.gz?dl=0 -O 1990.assoc.tsv.gz	https://www.dropbox.com/s/vfmn450a4n5hq57/1990.assoc.tsv.gz?dl=0
Cancer code, self-reported: lung cancer	20001_1001.assoc.tsv.gz	wget https://www.dropbox.com/s/a30ffjxh0mzz4of/20001_1001.assoc.tsv.gz?dl=0 -O 20001_1001.assoc.tsv.gz	https://www.dropbox.com/s/a30ffjxh0mzz4of/20001_1001.assoc.tsv.gz?dl=0
Cancer code, self-reported: breast cancer	20001_1002.assoc.tsv.gz	wget https://www.dropbox.com/s/qp4mxk8kfbsuesf/20001_1002.assoc.tsv.gz?dl=0 -O 20001_1002.assoc.tsv.gz	https://www.dropbox.com/s/qp4mxk8kfbsuesf/20001_1002.assoc.tsv.gz?dl=0
Cancer code, self-reported: skin cancer	20001_1003.assoc.tsv.gz	wget https://www.dropbox.com/s/g9hjrca602ymoto/20001_1003.assoc.tsv.gz?dl=0 -O 20001_1003.assoc.tsv.gz	https://www.dropbox.com/s/g9hjrca602ymoto/20001_1003.assoc.tsv.gz?dl=0
Cancer code, self-reported: cancer of lip/mouth/pharynx/oral cavity	20001_1004.assoc.tsv.gz	wget https://www.dropbox.com/s/b27lksy27e360zd/20001_1004.assoc.tsv.gz?dl=0 -O 20001_1004.assoc.tsv.gz	https://www.dropbox.com/s/b27lksy27e360zd/20001_1004.assoc.tsv.gz?dl=0
Cancer code, self-reported: larynx/throat cancer	20001_1006.assoc.tsv.gz	wget https://www.dropbox.com/s/z0km3fupakq9eo9/20001_1006.assoc.tsv.gz?dl=0 -O 20001_1006.assoc.tsv.gz	https://www.dropbox.com/s/z0km3fupakq9eo9/20001_1006.assoc.tsv.gz?dl=0
Cancer code, self-reported: tongue cancer	20001_1011.assoc.tsv.gz	wget https://www.dropbox.com/s/epgcrrjx0opkksu/20001_1011.assoc.tsv.gz?dl=0 -O 20001_1011.assoc.tsv.gz	https://www.dropbox.com/s/epgcrrjx0opkksu/20001_1011.assoc.tsv.gz?dl=0
Cancer code, self-reported: oesophageal cancer	20001_1017.assoc.tsv.gz	wget https://www.dropbox.com/s/xbaiof2obtixrce/20001_1017.assoc.tsv.gz?dl=0 -O 20001_1017.assoc.tsv.gz	https://www.dropbox.com/s/xbaiof2obtixrce/20001_1017.assoc.tsv.gz?dl=0
Cancer code, self-reported: stomach cancer	20001_1018.assoc.tsv.gz	wget https://www.dropbox.com/s/mp2tdh7lkuyiz88/20001_1018.assoc.tsv.gz?dl=0 -O 20001_1018.assoc.tsv.gz	https://www.dropbox.com/s/mp2tdh7lkuyiz88/20001_1018.assoc.tsv.gz?dl=0
Cancer code, self-reported: small intestine/small bowel cancer	20001_1019.assoc.tsv.gz	wget https://www.dropbox.com/s/5m5lid4mvi1ulbm/20001_1019.assoc.tsv.gz?dl=0 -O 20001_1019.assoc.tsv.gz	https://www.dropbox.com/s/5m5lid4mvi1ulbm/20001_1019.assoc.tsv.gz?dl=0
Cancer code, self-reported: large bowel cancer/colorectal cancer	20001_1020.assoc.tsv.gz	wget https://www.dropbox.com/s/qlalevsph2a8swx/20001_1020.assoc.tsv.gz?dl=0 -O 20001_1020.assoc.tsv.gz	https://www.dropbox.com/s/qlalevsph2a8swx/20001_1020.assoc.tsv.gz?dl=0
Cancer code, self-reported: colon cancer/sigmoid cancer	20001_1022.assoc.tsv.gz	wget https://www.dropbox.com/s/agcnx5x8jui5hix/20001_1022.assoc.tsv.gz?dl=0 -O 20001_1022.assoc.tsv.gz	https://www.dropbox.com/s/agcnx5x8jui5hix/20001_1022.assoc.tsv.gz?dl=0
Cancer code, self-reported: rectal cancer	20001_1023.assoc.tsv.gz	wget https://www.dropbox.com/s/gm9c8wl6eak3g5k/20001_1023.assoc.tsv.gz?dl=0 -O 20001_1023.assoc.tsv.gz	https://www.dropbox.com/s/gm9c8wl6eak3g5k/20001_1023.assoc.tsv.gz?dl=0
Cancer code, self-reported: liver/hepatocellular cancer	20001_1024.assoc.tsv.gz	wget https://www.dropbox.com/s/bh4f5ssl6tlprp3/20001_1024.assoc.tsv.gz?dl=0 -O 20001_1024.assoc.tsv.gz	https://www.dropbox.com/s/bh4f5ssl6tlprp3/20001_1024.assoc.tsv.gz?dl=0
Cancer code, self-reported: eye and/or adnexal cancer	20001_1030.assoc.tsv.gz	wget https://www.dropbox.com/s/0ecd0g14lkscrsy/20001_1030.assoc.tsv.gz?dl=0 -O 20001_1030.assoc.tsv.gz	https://www.dropbox.com/s/0ecd0g14lkscrsy/20001_1030.assoc.tsv.gz?dl=0
Cancer code, self-reported: brain cancer / primary malignant brain tumour	20001_1032.assoc.tsv.gz	wget https://www.dropbox.com/s/fcioq8igxwuu3qw/20001_1032.assoc.tsv.gz?dl=0 -O 20001_1032.assoc.tsv.gz	https://www.dropbox.com/s/fcioq8igxwuu3qw/20001_1032.assoc.tsv.gz?dl=0
Cancer code, self-reported: kidney/renal cell cancer	20001_1034.assoc.tsv.gz	wget https://www.dropbox.com/s/eer0i91vf5zpp4x/20001_1034.assoc.tsv.gz?dl=0 -O 20001_1034.assoc.tsv.gz	https://www.dropbox.com/s/eer0i91vf5zpp4x/20001_1034.assoc.tsv.gz?dl=0
Cancer code, self-reported: bladder cancer	20001_1035.assoc.tsv.gz	wget https://www.dropbox.com/s/peqylbq8lruf0in/20001_1035.assoc.tsv.gz?dl=0 -O 20001_1035.assoc.tsv.gz	https://www.dropbox.com/s/peqylbq8lruf0in/20001_1035.assoc.tsv.gz?dl=0
Cancer code, self-reported: ovarian cancer	20001_1039.assoc.tsv.gz	wget https://www.dropbox.com/s/or7w1f1236019vs/20001_1039.assoc.tsv.gz?dl=0 -O 20001_1039.assoc.tsv.gz	https://www.dropbox.com/s/or7w1f1236019vs/20001_1039.assoc.tsv.gz?dl=0
Cancer code, self-reported: uterine/endometrial cancer	20001_1040.assoc.tsv.gz	wget https://www.dropbox.com/s/24zfvd5mnrkat0a/20001_1040.assoc.tsv.gz?dl=0 -O 20001_1040.assoc.tsv.gz	https://www.dropbox.com/s/24zfvd5mnrkat0a/20001_1040.assoc.tsv.gz?dl=0
Cancer code, self-reported: cervical cancer	20001_1041.assoc.tsv.gz	wget https://www.dropbox.com/s/1udovbnn7k52vwq/20001_1041.assoc.tsv.gz?dl=0 -O 20001_1041.assoc.tsv.gz	https://www.dropbox.com/s/1udovbnn7k52vwq/20001_1041.assoc.tsv.gz?dl=0
Cancer code, self-reported: prostate cancer	20001_1044.assoc.tsv.gz	wget https://www.dropbox.com/s/qk80cp5r7vzq2im/20001_1044.assoc.tsv.gz?dl=0 -O 20001_1044.assoc.tsv.gz	https://www.dropbox.com/s/qk80cp5r7vzq2im/20001_1044.assoc.tsv.gz?dl=0
Cancer code, self-reported: testicular cancer	20001_1045.assoc.tsv.gz	wget https://www.dropbox.com/s/tl167gys7u5ja8r/20001_1045.assoc.tsv.gz?dl=0 -O 20001_1045.assoc.tsv.gz	https://www.dropbox.com/s/tl167gys7u5ja8r/20001_1045.assoc.tsv.gz?dl=0
Cancer code, self-reported: lymphoma	20001_1047.assoc.tsv.gz	wget https://www.dropbox.com/s/r9rvgt8jpua11fx/20001_1047.assoc.tsv.gz?dl=0 -O 20001_1047.assoc.tsv.gz	https://www.dropbox.com/s/r9rvgt8jpua11fx/20001_1047.assoc.tsv.gz?dl=0
Cancer code, self-reported: leukaemia	20001_1048.assoc.tsv.gz	wget https://www.dropbox.com/s/mvh8rhhu0k3qjc5/20001_1048.assoc.tsv.gz?dl=0 -O 20001_1048.assoc.tsv.gz	https://www.dropbox.com/s/mvh8rhhu0k3qjc5/20001_1048.assoc.tsv.gz?dl=0
Cancer code, self-reported: multiple myeloma	20001_1050.assoc.tsv.gz	wget https://www.dropbox.com/s/010fyzhr78hnk17/20001_1050.assoc.tsv.gz?dl=0 -O 20001_1050.assoc.tsv.gz	https://www.dropbox.com/s/010fyzhr78hnk17/20001_1050.assoc.tsv.gz?dl=0
Cancer code, self-reported: non-hodgkins lymphoma	20001_1053.assoc.tsv.gz	wget https://www.dropbox.com/s/k05vvyj7dhypdh9/20001_1053.assoc.tsv.gz?dl=0 -O 20001_1053.assoc.tsv.gz	https://www.dropbox.com/s/k05vvyj7dhypdh9/20001_1053.assoc.tsv.gz?dl=0
Cancer code, self-reported: hodgkins lymphoma / hodgkins disease	20001_1052.assoc.tsv.gz	wget https://www.dropbox.com/s/mbi2cwy251vznwn/20001_1052.assoc.tsv.gz?dl=0 -O 20001_1052.assoc.tsv.gz	https://www.dropbox.com/s/mbi2cwy251vznwn/20001_1052.assoc.tsv.gz?dl=0
Cancer code, self-reported: chronic lymphocytic	20001_1055.assoc.tsv.gz	wget https://www.dropbox.com/s/wypmptelu30svpc/20001_1055.assoc.tsv.gz?dl=0 -O 20001_1055.assoc.tsv.gz	https://www.dropbox.com/s/wypmptelu30svpc/20001_1055.assoc.tsv.gz?dl=0
Cancer code, self-reported: chronic myeloid	20001_1056.assoc.tsv.gz	wget https://www.dropbox.com/s/y5ch9l1fuu5vlyr/20001_1056.assoc.tsv.gz?dl=0 -O 20001_1056.assoc.tsv.gz	https://www.dropbox.com/s/y5ch9l1fuu5vlyr/20001_1056.assoc.tsv.gz?dl=0
Cancer code, self-reported: malignant melanoma	20001_1059.assoc.tsv.gz	wget https://www.dropbox.com/s/y87ecax95asgm8s/20001_1059.assoc.tsv.gz?dl=0 -O 20001_1059.assoc.tsv.gz	https://www.dropbox.com/s/y87ecax95asgm8s/20001_1059.assoc.tsv.gz?dl=0
Cancer code, self-reported: non-melanoma skin cancer	20001_1060.assoc.tsv.gz	wget https://www.dropbox.com/s/qmod39a4o0of0n7/20001_1060.assoc.tsv.gz?dl=0 -O 20001_1060.assoc.tsv.gz	https://www.dropbox.com/s/qmod39a4o0of0n7/20001_1060.assoc.tsv.gz?dl=0
Cancer code, self-reported: basal cell carcinoma	20001_1061.assoc.tsv.gz	wget https://www.dropbox.com/s/zglo5o4cv9j2pxd/20001_1061.assoc.tsv.gz?dl=0 -O 20001_1061.assoc.tsv.gz	https://www.dropbox.com/s/zglo5o4cv9j2pxd/20001_1061.assoc.tsv.gz?dl=0
Cancer code, self-reported: squamous cell carcinoma	20001_1062.assoc.tsv.gz	wget https://www.dropbox.com/s/9sf0ilxmbf4g8h3/20001_1062.assoc.tsv.gz?dl=0 -O 20001_1062.assoc.tsv.gz	https://www.dropbox.com/s/9sf0ilxmbf4g8h3/20001_1062.assoc.tsv.gz?dl=0
Cancer code, self-reported: primary bone cancer	20001_1063.assoc.tsv.gz	wget https://www.dropbox.com/s/shvrcejqv683z0j/20001_1063.assoc.tsv.gz?dl=0 -O 20001_1063.assoc.tsv.gz	https://www.dropbox.com/s/shvrcejqv683z0j/20001_1063.assoc.tsv.gz?dl=0
Cancer code, self-reported: thyroid cancer	20001_1065.assoc.tsv.gz	wget https://www.dropbox.com/s/fe56b3w16fql5qr/20001_1065.assoc.tsv.gz?dl=0 -O 20001_1065.assoc.tsv.gz	https://www.dropbox.com/s/fe56b3w16fql5qr/20001_1065.assoc.tsv.gz?dl=0
No-wear time bias adjusted acceleration standard deviation	90088.assoc.tsv.gz	wget https://www.dropbox.com/s/nf5ssw4wzsorvxa/90088.assoc.tsv.gz?dl=0 -O 90088.assoc.tsv.gz	https://www.dropbox.com/s/nf5ssw4wzsorvxa/90088.assoc.tsv.gz?dl=0
Cancer code, self-reported: sarcoma/fibrosarcoma	20001_1068.assoc.tsv.gz	wget https://www.dropbox.com/s/ulpmqmcdanc16o4/20001_1068.assoc.tsv.gz?dl=0 -O 20001_1068.assoc.tsv.gz	https://www.dropbox.com/s/ulpmqmcdanc16o4/20001_1068.assoc.tsv.gz?dl=0
Number of days/week of vigorous physical activity 10+ minutes	904.assoc.tsv.gz	wget https://www.dropbox.com/s/dw431y63qeyca2k/904.assoc.tsv.gz?dl=0 -O 904.assoc.tsv.gz	https://www.dropbox.com/s/dw431y63qeyca2k/904.assoc.tsv.gz?dl=0
